contrast_order,contrast_type,shock,portfolio,reference_portfolio,comparison_shock,family,metric,direction_multiplier,count,mean,standard_error,ci95_lower,ci95_upper,median,p05,p25,p75,p90,p95,positive_share,discordant_positive,discordant_negative,reversal
22,raw_portfolio_contrast,joint_crypto_high_correlation,stable_heavy,empirical_crypto,,,successful_closure_count,1,128,-11.5,1.8319869489443317,-15.090694419930891,-7.90930558006911,-1.5,-54.9,-15.0,0.0,0.0,0.0,0.0,,,
23,raw_portfolio_contrast,joint_crypto_high_correlation,stable_heavy,empirical_crypto,,,capacity_rejected_opportunities,1,128,-0.015625,0.015625,-0.04625,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
24,raw_portfolio_contrast,joint_crypto_high_correlation,stable_heavy,empirical_crypto,,,below_peg_burden,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
25,raw_portfolio_contrast,joint_crypto_high_correlation,stable_heavy,empirical_crypto,,,mean_absolute_peg_deviation,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
26,raw_portfolio_contrast,joint_crypto_high_correlation,stable_heavy,empirical_crypto,,,minimum_dai_price,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
27,raw_portfolio_contrast,joint_crypto_high_correlation,stable_heavy,empirical_crypto,,,restricted_mean_recovery_time,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
28,raw_portfolio_contrast,joint_crypto_high_correlation,stable_heavy,empirical_crypto,,,recovery_probability_720h,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
29,raw_portfolio_contrast,joint_crypto_high_correlation,stable_heavy,stable_supported,,,realised_bad_debt_share,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
30,raw_portfolio_contrast,joint_crypto_high_correlation,stable_heavy,stable_supported,,,positive_realised_bad_debt,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
31,raw_portfolio_contrast,joint_crypto_high_correlation,stable_heavy,stable_supported,,,active_bad_debt_share,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
32,raw_portfolio_contrast,joint_crypto_high_correlation,stable_heavy,stable_supported,,,unresolved_tab_share,1,128,-0.006827254788438876,0.0028753808359075054,-0.012463001226817587,-0.0011915083500601657,0.0,-0.029230469724177817,-7.459780763010199e-05,0.0,0.0,0.0,0.0234375,,,
33,raw_portfolio_contrast,joint_crypto_high_correlation,stable_heavy,stable_supported,,,backlog_area_share,1,128,-0.02703886782589787,0.01076477619396559,-0.04813782916607043,-0.005939906485725312,0.0,-0.15741683650915028,-0.00017185404404147992,0.0,0.0,0.0,0.015625,,,
34,raw_portfolio_contrast,joint_crypto_high_correlation,stable_heavy,stable_supported,,,liquidated_debt_share,1,128,-0.0091184142012168,0.0030581885714911113,-0.015112463801339378,-0.0031243646010942223,0.0,-0.06195983800550667,-0.00022005654011063406,0.0,0.0,0.0,0.015625,,,
35,raw_portfolio_contrast,joint_crypto_high_correlation,stable_heavy,stable_supported,,,debt_weighted_liquidated_vault_share,1,128,-0.009118414201216802,0.0030581885714911113,-0.01511246380133938,-0.003124364601094224,0.0,-0.06195983800550666,-0.00022005654011063406,0.0,0.0,0.0,0.015625,,,
36,raw_portfolio_contrast,joint_crypto_high_correlation,stable_heavy,stable_supported,,,successful_closure_count,1,128,-3.53125,0.9588569656681002,-5.410609652709477,-1.6518903472905238,0.0,-17.9,-1.0,0.0,0.0,0.0,0.015625,,,
37,raw_portfolio_contrast,joint_crypto_high_correlation,stable_heavy,stable_supported,,,capacity_rejected_opportunities,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
38,raw_portfolio_contrast,joint_crypto_high_correlation,stable_heavy,stable_supported,,,below_peg_burden,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
39,raw_portfolio_contrast,joint_crypto_high_correlation,stable_heavy,stable_supported,,,mean_absolute_peg_deviation,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
40,raw_portfolio_contrast,joint_crypto_high_correlation,stable_heavy,stable_supported,,,minimum_dai_price,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
41,raw_portfolio_contrast,joint_crypto_high_correlation,stable_heavy,stable_supported,,,restricted_mean_recovery_time,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
42,raw_portfolio_contrast,joint_crypto_high_correlation,stable_heavy,stable_supported,,,recovery_probability_720h,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
43,raw_portfolio_contrast,stable_depeg_moderate,stable_supported,empirical_crypto,,,realised_bad_debt_share,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
44,raw_portfolio_contrast,stable_depeg_moderate,stable_supported,empirical_crypto,,,positive_realised_bad_debt,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
45,raw_portfolio_contrast,stable_depeg_moderate,stable_supported,empirical_crypto,,,active_bad_debt_share,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
46,raw_portfolio_contrast,stable_depeg_moderate,stable_supported,empirical_crypto,,,unresolved_tab_share,1,128,-0.007958334989885277,0.003288745258879222,-0.014404275697288551,-0.0015123942824820024,0.0,-0.07206605152951535,-0.001531330325902839,0.0,0.0,0.0,0.046875,,,
47,raw_portfolio_contrast,stable_depeg_moderate,stable_supported,empirical_crypto,,,backlog_area_share,1,128,-0.03445292267012094,0.017380696906300213,-0.06851908860646935,-0.0003867567337725239,0.0,-0.2423078978175637,-0.008767608495574456,0.0,0.0,0.0,0.03125,,,
48,raw_portfolio_contrast,stable_depeg_moderate,stable_supported,empirical_crypto,,,liquidated_debt_share,1,128,-0.02165332330511262,0.0055500965259187626,-0.03253151249591339,-0.010775134114311847,0.0,-0.18181585978064543,-0.003872734298901398,0.0,0.0,0.0,0.0390625,,,
49,raw_portfolio_contrast,stable_depeg_moderate,stable_supported,empirical_crypto,,,debt_weighted_liquidated_vault_share,1,128,-0.02165332330511262,0.0055500965259187626,-0.03253151249591339,-0.010775134114311847,0.0,-0.18181585978064543,-0.003872734298901398,0.0,0.0,0.0,0.0390625,,,
50,raw_portfolio_contrast,stable_depeg_moderate,stable_supported,empirical_crypto,,,successful_closure_count,1,128,-6.765625,1.0954386219607504,-8.912684699043071,-4.618565300956929,0.0,-33.949999999999996,-9.0,0.0,0.0,0.0,0.0,,,
51,raw_portfolio_contrast,stable_depeg_moderate,stable_supported,empirical_crypto,,,capacity_rejected_opportunities,1,128,-0.0234375,0.023437499999999997,-0.06937499999999999,0.022499999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
