interaction_cell,candidate_index,moment,additive_prediction,actual_result,interaction_residual,paired_mcse,analytic_mcse,replication_index_mcse,mcse_agreement_pass,snr,empirical_scale,additive_band_gap,actual_band_gap,band_gap_reduction,band_gap_reduction_scales,direction,large_residual,precise_residual,large_and_precise
011,0,failed_recovery_attempts_mean,-0.020059121621621621,0,0.020059121621621621,0.0021965996932526957,0.0021965996932526957,0.0021772163129315726,True,9.1318967599045511,1.2984694187000001,-0.54474190584162152,-0.52468278421999992,0.020059121621621601,0.015448281902321863,towards_band,False,True,False
011,0,first_six_hour_burden_mean,0,0,0,0,0,0,True,0,0.024570982533,-0.077561113011999902,-0.077561113011999902,0,0,unchanged,False,False,False
011,0,initial_gap_q4_q1_burden_contrast,0,0,0,0,0,0,True,0,0.071927000000000005,-0.45521164327499991,-0.45521164327499991,0,0,unchanged,False,False,False
011,0,maximum_downside_deviation_mean,-0.0067943402772714379,0,0.0067943402772714379,0.00021600384848027122,0.00021600384848027122,0.00020955649914577553,True,31.454718631515497,0.00054365875714980003,-0.0089416297449516381,-0.0021472894676801998,0.0067943402772714379,12.497435547422484,towards_band,True,True,True
011,0,recovery_completion_hours_mean,68.791807432432435,72.959459459459453,4.1676520270270272,0.15384927070760732,0.15244262374104955,0.15384927070760732,True,27.089189359549895,9.5394282938200003,0.75349138529243476,4.9211434123194522,-4.1676520270270174,-0.43688698092389655,away_from_band,False,True,False
011,36,failed_recovery_attempts_mean,-0.014463682432432432,0,0.014463682432432432,0.0023678593381580774,0.0023678593381580774,0.0023470488887043827,True,6.1083368422059712,1.2984694187000001,-0.53914646665243238,-0.52468278421999992,0.014463682432432456,0.011139024319042637,towards_band,False,True,False
011,36,first_six_hour_burden_mean,-1.1220977505552186e-05,0,1.1220977505552186e-05,1.0841751457078249e-05,1.0841751457078249e-05,1.0838712776204838e-05,True,1.0349783012436014,0.024570982533,-0.077572333989505457,-0.077561113011999902,1.1220977505554952e-05,0.00045667597909382113,towards_band,False,False,False
011,36,initial_gap_q4_q1_burden_contrast,0,0,0,0,0,0,True,0,0.071927000000000005,-0.45521164327499991,-0.45521164327499991,0,0,unchanged,False,False,False
011,36,maximum_downside_deviation_mean,-2.0735785729771788e-05,0,2.0735785729771788e-05,2.596374067516388e-06,2.5550829266311162e-06,2.596374067516388e-06,True,7.9864400084718943,0.00054365875714980003,-0.0021680252534099715,-0.0021472894676801998,2.0735785729771635e-05,0.038141178555610181,towards_band,False,True,False
011,36,recovery_completion_hours_mean,72.777132601351354,72.959459459459453,0.18232685810810811,0.048455007023732566,0.048455007023732566,0.047483141086303131,True,3.7628073816769243,9.5394282938200003,4.7388165542113541,4.9211434123194522,-0.18232685810809812,-0.019112975378851194,away_from_band,False,True,False
011,42,failed_recovery_attempts_mean,0.0017947635135135136,0,-0.0017947635135135136,0.00090397123984510726,0.00078172616382442327,0.00090397123984510726,True,1.9854210337720932,1.2984694187000001,-0.52288802070648643,-0.52468278421999992,-0.0017947635135134865,-0.0013822146965235158,away_from_band,False,False,False
