candidate_index,moment,effect,effect_estimate,paired_mcse,analytic_mcse,replication_index_mcse,relative_disagreement,agreement_pass,snr,sign,prefix_32_estimate,prefix_32_sign,prefix_sign_stable,dominant_event,dominant_event_share,effective_event_count
0,failed_recovery_attempts_mean,A,-0.004592483108108108,0.00056673777377542567,0.00056334982972768293,0.00056673777377542567,0.0059779746551449084,True,8.1033651198409729,-1,-0.003272804054054054,-1,True,calibration__20210616T110000Z,0.5745791420374019,2.3299523022925199
0,failed_recovery_attempts_mean,AB,0.004592483108108108,0.00056673777377542567,0.00056334982972768293,0.00056673777377542567,0.0059779746551449084,True,8.1033651198409729,1,0.003272804054054054,1,True,calibration__20210616T110000Z,0.5745791420374019,2.3299523022925199
0,failed_recovery_attempts_mean,ABC,-0.004592483108108108,0.00056673777377542567,0.00056334982972768293,0.00056673777377542567,0.0059779746551449084,True,8.1033651198409729,-1,-0.003272804054054054,-1,True,calibration__20210616T110000Z,0.5745791420374019,2.3299523022925199
0,failed_recovery_attempts_mean,AC,0.004592483108108108,0.00056673777377542567,0.00056334982972768293,0.00056673777377542567,0.0059779746551449084,True,8.1033651198409729,1,0.003272804054054054,1,True,calibration__20210616T110000Z,0.5745791420374019,2.3299523022925199
0,failed_recovery_attempts_mean,B,-0.026446368243243243,0.001924342815277921,0.001924342815277921,0.0018270104183974365,0.050579551682649333,True,13.743064922360913,-1,-0.020164695945945946,-1,True,calibration__20201206T020000Z,0.15120588470551291,21.299989665136952
0,failed_recovery_attempts_mean,BC,0.0054370777027027027,0.00062648895261376545,0.00062648895261376545,0.00061486772300192044,0.018549775799493753,True,8.6786489690181288,1,0.0036951013513513513,1,True,calibration__20210616T110000Z,0.65600804986443795,2.0197574525614259
0,failed_recovery_attempts_mean,C,-0.0054370777027027027,0.00062648895261376545,0.00062648895261376545,0.00061486772300192044,0.018549775799493753,True,8.6786489690181288,-1,-0.0036951013513513513,-1,True,calibration__20210616T110000Z,0.65600804986443795,2.0197574525614259
0,first_six_hour_burden_mean,A,0,0,0,0,0,True,0,0,0,0,True,calibration__20200128T020000Z,0,74
0,first_six_hour_burden_mean,AB,0,0,0,0,0,True,0,0,0,0,True,calibration__20200128T020000Z,0,74
0,first_six_hour_burden_mean,ABC,0,0,0,0,0,True,0,0,0,0,True,calibration__20200128T020000Z,0,74
0,first_six_hour_burden_mean,AC,0,0,0,0,0,True,0,0,0,0,True,calibration__20200128T020000Z,0,74
0,first_six_hour_burden_mean,B,-9.3485082467854326e-05,2.9444211476140013e-05,2.9319335732943225e-05,2.9444211476140013e-05,0.0042410965326064578,True,3.1749901858845684,-1,-0.00014650645182063865,-1,True,calibration__20210302T170000Z,0.52012447290085229,3.1359791049884738
0,first_six_hour_burden_mean,BC,0,0,0,0,0,True,0,0,0,0,True,calibration__20200128T020000Z,0,74
