candidate_index,event_set,replication_count,moment,event_count,point_estimate,analytic_mcse,replication_index_mcse,diagnostic_mcse,relative_disagreement,agreement_pass,threshold,pass,dominant_event,dominant_event_mc_variance_share,effective_event_count,right_censoring_share,convergence_slope,convergence_classification,projected_required_replications
0,search_32,32,ordinary_below_mean,32,0.000353255329457,0,0,0,0,True,1.3559e-05,True,,0,32,0.001953125,,faster_than_expected_or_floor_effect,
0,search_32,32,ordinary_above_mean,32,-9.5134546050499997e-05,0,0,0,0,True,2.8830000000000002e-06,True,,0,32,0.001953125,,faster_than_expected_or_floor_effect,
0,search_32,32,first_six_hour_burden_mean,32,0,0,0,0,0,True,0.0024570982533000003,True,calibration__20200505T100000Z,0,32,0.001953125,-0.64374957595078464,regular_convergence,1
0,search_32,32,maximum_downside_deviation_mean,32,0.00098983873167444092,0.00068346021050873619,0.00067147040841042881,0.00068346021050873619,0.017542794611821989,True,5.4365875714999998e-05,False,calibration__20210605T110000Z,0.50016332326366786,2.0001235303815901,0.001953125,-0.47031186845463502,regular_convergence,8192
0,search_32,32,recovery_completion_hours_mean,32,69.8876953125,1.0836079172975164,1.0605969260554469,1.0836079172975164,0.021235532589553414,True,0.95394282938200003,False,calibration__20210920T030000Z,0.52261503082051131,2.3695074120266346,0.001953125,-0.52082026357664646,regular_convergence,64
0,search_32,32,failed_recovery_attempts_mean,32,0.015625,0.004904814341393394,0.0054344401846894716,0.0054344401846894716,0.097457295562512647,True,0.12984694187000001,True,calibration__20210920T030000Z,0.52685421994884918,3.1443085877646708,0.001953125,-0.37087906975698964,regular_convergence,1
0,search_32,32,initial_gap_q4_q1_burden_contrast,32,0,0,0,0,0,True,0.0071927000000000007,True,calibration__20210204T040000Z,0,16,0.001953125,-0.79818107923646708,faster_than_expected_or_floor_effect,
0,search_32,32,eth_recovery_q4_q1_duration_contrast,32,-32.09375,3.2684181398318288,3.5472668800850586,3.5472668800850586,0.078609461785560206,True,0.75324999999999998,False,calibration__20210920T030000Z,0.91911741193116814,1.178061653202735,0.001953125,-0.4993115979081611,regular_convergence,1024
0,search_32,64,ordinary_below_mean,32,0.000353255329457,0,0,0,0,True,1.3559e-05,True,,0,32,0.00244140625,,faster_than_expected_or_floor_effect,
0,search_32,64,ordinary_above_mean,32,-9.5134546050499997e-05,0,0,0,0,True,2.8830000000000002e-06,True,,0,32,0.00244140625,,faster_than_expected_or_floor_effect,
0,search_32,64,first_six_hour_burden_mean,32,0,0,0,0,0,True,0.0024570982533000003,True,calibration__20200505T100000Z,0,32,0.00244140625,-0.64374957595078464,regular_convergence,1
0,search_32,64,maximum_downside_deviation_mean,32,0.0012338918788133686,0.00052987760664714202,0.00052224405071391532,0.00052987760664714202,0.014406262573594781,True,5.4365875714999998e-05,False,calibration__20210920T030000Z,0.79191449940498237,1.4916192129702994,0.00244140625,-0.47031186845463502,regular_convergence,8192
0,search_32,64,recovery_completion_hours_mean,32,70.49072265625,0.76243644318444426,0.73813563447267949,0.76243644318444426,0.031872569745313252,True,0.95394282938200003,True,calibration__20210920T030000Z,0.70548381533939919,1.8561802478101614,0.00244140625,-0.52082026357664646,regular_convergence,64
0,search_32,64,failed_recovery_attempts_mean,32,0.0234375,0.00574655248096732,0.0056112734854904603,0.00574655248096732,0.023540896202532927,True,0.12984694187000001,True,calibration__20210920T030000Z,0.77824891129956453,1.6409631474048203,0.00244140625,-0.37087906975698964,regular_convergence,1
0,search_32,64,initial_gap_q4_q1_burden_contrast,32,0,0,0,0,0,True,0.0071927000000000007,True,calibration__20210204T040000Z,0,16,0.00244140625,-0.79818107923646708,faster_than_expected_or_floor_effect,
0,search_32,64,eth_recovery_q4_q1_duration_contrast,32,-35.712890625,2.6413115748824683,2.697190734301337,2.697190734301337,0.020717540924425341,True,0.75324999999999998,False,calibration__20210920T030000Z,0.94053521727533118,1.1284291181454034,0.00244140625,-0.4993115979081611,regular_convergence,1024
0,search_32,128,ordinary_below_mean,32,0.000353255329457,0,0,0,0,True,1.3559e-05,True,,0,32,0.002197265625,,faster_than_expected_or_floor_effect,
