event_id,partition,onset_timestamp_utc,completion_timestamp_utc,stable_run_start_timestamp_utc,trough_timestamp_utc,first_return_timestamp_utc,calendar_year,event_duration_hours,hours_below_0995,initial_peg_gap,minimum_price,maximum_downside_deviation,maximum_six_hour_burden,first_six_hour_burden,first_24_hour_burden,cumulative_downside_burden,burden_after_first_return,hours_to_minimum,hours_to_first_return,recovery_completion_hours,recovery_hours_from_trough,recovery_half_life,failed_recovery_attempts,post_recovery_overshoot,onset_eth_downside,event_eth_downside,eth_recovery_24h,eligible_first_six_hour_burden,eligible_maximum_downside_deviation,eligible_recovery_completion_hours,eligible_failed_recovery_attempts,eligible_initial_gap_contrast,eligible_eth_recovery_contrast
calibration__20210421T210000Z,calibration,2021-04-21T21:00:00Z,2021-04-23T20:00:00Z,2021-04-22T21:00:00Z,2021-04-21T21:00:00Z,2021-04-21T22:00:00Z,2021,47,2,0.00665858333333,0.993341416667,0.00165858333333,0.331716666667,0.0552861111111,0.0196222222222,0.470933333333,0.139216666667,0,1,47,47,2,1,0.00692316666667,0,0.0226212796384,-0.000792310663384,True,True,True,True,True,True
calibration__20210605T110000Z,calibration,2021-06-05T11:00:00Z,2021-06-06T21:00:00Z,2021-06-05T22:00:00Z,2021-06-05T21:00:00Z,2021-06-05T12:00:00Z,2021,34,2,0.00511766666667,0.994479166667,0.000520833333333,0.0235333333334,0.00392222222223,0.00532083333333,0.1277,0.104166666667,10,1,34,24,1,1,0.009897,0,0.00543486942076,0.0402151292801,True,True,True,True,True,True
calibration__20210607T170000Z,calibration,2021-06-07T17:00:00Z,2021-06-08T18:00:00Z,2021-06-07T19:00:00Z,2021-06-07T17:00:00Z,2021-06-07T19:00:00Z,2021,25,2,0.00665433333333,0.993345666667,0.00165433333333,0.330866666667,0.0985388888889,0.0246347222222,0.591233333333,0,0,2,25,25,4,0,0.006589,0,0.123010986433,-0.127642322764,True,True,True,True,True,True
calibration__20210613T040000Z,calibration,2021-06-13T04:00:00Z,2021-06-14T06:00:00Z,2021-06-13T07:00:00Z,2021-06-13T04:00:00Z,2021-06-13T07:00:00Z,2021,26,3,0.00661108333333,0.993388916667,0.00161108333333,0.322216666667,0.122933333333,0.0307333333333,0.7376,0,0,3,26,26,3,0,0.006753,0,0,0.057524883491,True,True,True,True,True,True
calibration__20210616T110000Z,calibration,2021-06-16T11:00:00Z,2021-06-19T18:00:00Z,2021-06-18T19:00:00Z,2021-06-17T17:00:00Z,2021-06-16T14:00:00Z,2021,79,12,0.00649766666667,0.9922575,0.0027425,0.299533333333,0.0902055555556,0.0295486111111,2.3726,1.83136666667,30,3,79,49,2,6,0.00904433333333,0.0298346070046,0.128900810558,-0.0502973647353,True,True,True,True,True,True
calibration__20210624T020000Z,calibration,2021-06-24T02:00:00Z,2021-06-25T02:00:00Z,2021-06-24T03:00:00Z,2021-06-24T02:00:00Z,2021-06-24T03:00:00Z,2021,24,1,0.005477,0.994523,0.000477,0.0954,0.0159,0.003975,0.0954,0,0,1,24,24,1,0,0.00516441666667,0.0148459543638,0,0.0528991155475,True,True,True,True,True,True
calibration__20210625T070000Z,calibration,2021-06-25T07:00:00Z,2021-06-26T15:00:00Z,2021-06-25T16:00:00Z,2021-06-25T10:00:00Z,2021-06-25T08:00:00Z,2021,32,3,0.00565783333333,0.994230333333,0.000769666666667,0.131566666667,0.0475833333333,0.0169548611111,0.406916666667,0.27535,3,1,32,29,2,2,0.010317,0,0.101797235126,-0.0734574162006,True,True,True,True,True,True
calibration__20210702T030000Z,calibration,2021-07-02T03:00:00Z,2021-07-03T10:00:00Z,2021-07-02T11:00:00Z,2021-07-02T06:00:00Z,2021-07-02T04:00:00Z,2021,31,3,0.00591116666667,0.993893583333,0.00110641666667,0.182233333333,0.0672527777778,0.0213847222222,0.513233333333,0.331,3,1,31,28,1,2,0.0122301666667,0.0633150411343,0,0.0569809261464,True,True,True,True,True,True
calibration__20210705T020000Z,calibration,2021-07-05T02:00:00Z,2021-07-06T07:00:00Z,2021-07-05T08:00:00Z,2021-07-05T03:00:00Z,2021-07-05T06:00:00Z,2021,29,5,0.00618475,0.9935115,0.0014885,0.267325,0.132863888889,0.0332159722222,0.797183333333,0.0233833333334,1,4,29,28,6,1,0.00958675,0,0,-0.00926620186053,True,True,True,True,True,True
calibration__20210707T220000Z,calibration,2021-07-07T22:00:00Z,2021-07-10T01:00:00Z,2021-07-09T02:00:00Z,2021-07-09T01:00:00Z,2021-07-07T23:00:00Z,2021,51,4,0.00562366666667,0.993079916667,0.00192008333333,0.124733333333,0.0207888888889,0.0181375,0.819316666667,0.694583333333,27,1,51,24,1,2,0.007171,0,0.083280919397,0.0468592596211,True,True,True,True,True,True
calibration__20210710T100000Z,calibration,2021-07-10T10:00:00Z,2021-07-11T17:00:00Z,2021-07-10T18:00:00Z,2021-07-10T14:00:00Z,2021-07-10T11:00:00Z,2021,31,3,0.00666316666667,0.991790416667,0.00320958333333,0.332633333333,0.162425,0.0635916666667,1.5262,1.19356666667,4,1,31,27,1,2,0.00807991666667,0,0,0.0141927745433,True,True,True,True,True,True
calibration__20210712T100000Z,calibration,2021-07-12T10:00:00Z,2021-07-15T01:00:00Z,2021-07-14T02:00:00Z,2021-07-13T05:00:00Z,2021-07-12T12:00:00Z,2021,63,11,0.00717166666667,0.99125525,0.00374475,0.434333333333,0.10125,0.118465972222,3.0762,2.4687,19,2,63,44,1,6,0.00708266666667,0,0.0610477868834,-0.0590784429479,True,True,True,True,True,True
calibration__20210715T050000Z,calibration,2021-07-15T05:00:00Z,2021-07-16T06:00:00Z,2021-07-15T07:00:00Z,2021-07-15T06:00:00Z,2021-07-15T07:00:00Z,2021,25,2,0.00526058333333,0.994152416667,0.000847583333333,0.110816666667,0.0369388888889,0.00923472222222,0.221633333333,0,1,2,25,24,2,0,0.00676241666667,0,0.0280794412711,-0.0246892098482,True,True,True,True,True,True
