parameter,moment,low_decile_median,high_decile_median,high_minus_low_scales,rank_correlation,adjacent_bin_monotonic_share,monotonic_direction,low_boundary_gap_scales,high_boundary_gap_scales,movement_towards_band_boundary,boundary_signal,extrapolated_parameter_value
confidence_floor,failed_recovery_attempts_mean,0.23828125,0.03325591216216215,-0.15789770239110049,-0.10562344775134938,0.55555555555555558,increasing,-0.22056856333723981,-0.37846626572834025,low,False,
confidence_floor,first_six_hour_burden_mean,0.46951207035538206,0.00021424196657025,-19.099676936342387,-0.34867103456168452,0.66666666666666663,decreasing,11.951782018361429,-3.147894917980961,high,False,
confidence_floor,initial_gap_q4_q1_burden_contrast,-0.049182078411631594,0.0001160389172345,0.68539098431557122,0.44632066834515899,0.66666666666666663,increasing,-7.0125783320120609,-6.3271873476964897,high,False,
confidence_floor,maximum_downside_deviation_mean,0.43537223779152107,4.5295290587934296e-05,-800.73563936170149,-0.35237544141069066,0.55555555555555558,decreasing,792.86925415324367,-3.8663852084572987,high,False,
confidence_floor,recovery_completion_hours_mean,659.99757179054052,83.281777871621614,-60.456012263600442,-0.34705879092227454,0.55555555555555558,decreasing,62.053955175373972,1.5979429117735389,high,False,
deterioration_adjustment,failed_recovery_attempts_mean,0.1997466216216216,0.23141891891891886,0.024392024056297673,-0.21902726276268764,0.66666666666666663,decreasing,-0.25024552593906868,-0.22585350188277101,high,False,
deterioration_adjustment,first_six_hour_burden_mean,0.030873984570242451,0.44938126838535231,17.032582366335358,0.2682507438773174,0.66666666666666663,increasing,-1.9000920447138983,11.132490321621459,low,False,
deterioration_adjustment,initial_gap_q4_q1_burden_contrast,-0.034871395180003498,-0.019022390182784,0.22034847827963763,0.26271744106202788,0.55555555555555558,increasing,-6.8136171181198071,-6.5932686398401694,high,False,
deterioration_adjustment,maximum_downside_deviation_mean,0.20324322058555455,0.41148965371621615,383.04622227078607,0.16054015622924678,0.66666666666666663,increasing,365.8936667039909,748.93988897477686,low,False,
deterioration_adjustment,recovery_completion_hours_mean,338.71135979729729,626.93940033783792,30.214393532080489,0.16185335967696901,0.66666666666666663,increasing,28.374136836429646,58.588530368510135,low,False,
panic_response,failed_recovery_attempts_mean,0.058065878378378302,0.22497888513513503,0.12854596677668889,0.39424950213582155,0.66666666666666663,increasing,-0.35935918021757379,-0.23081321344088493,high,False,
panic_response,first_six_hour_burden_mean,0.00046343618986069998,0.68410404524280177,27.823087991486673,0.7506752117189287,1,increasing,-3.1377531085129933,20.685334882973677,low,True,
panic_response,initial_gap_q4_q1_burden_contrast,-0.00034167259612390003,-0.0112983116129721,-0.15232998758252395,-0.13569895857175554,0.55555555555555558,decreasing,-6.3335509039877067,-6.4858808915702308,low,False,
panic_response,maximum_downside_deviation_mean,0.00010941229453268264,0.47906091638513509,880.97818308228193,0.77084881591105558,1,increasing,-3.7484490893356464,873.22973399294574,low,True,
panic_response,recovery_completion_hours_mean,83.616131756756744,720.73384712837833,66.787830019579928,0.77393041049920031,1,increasing,1.6329925892633039,68.420822608843238,low,True,
recovery_adjustment,failed_recovery_attempts_mean,0.2423986486486486,0.22402871621621617,-0.014147373952652665,-0.13064043098295058,0.55555555555555558,decreasing,-0.21739760020992116,-0.2315449741625738,low,False,
recovery_adjustment,first_six_hour_burden_mean,0.44017138672161149,0.37267997305780187,-2.7467934411318486,-0.055947442206454555,0.55555555555555558,increasing,10.757662752094213,8.010869310962363,high,False,
recovery_adjustment,initial_gap_q4_q1_burden_contrast,-0.0183779492222143,-0.023364107833965499,-0.069322488241567129,-0.00036550125886930643,0.55555555555555558,increasing,-6.5843089868507541,-6.6536314750923209,low,False,
recovery_adjustment,maximum_downside_deviation_mean,0.44195709428041874,0.38034328653732064,-113.33176727643698,-0.12106522029930371,0.55555555555555558,decreasing,804.9813675006302,691.64960022419314,high,False,
recovery_adjustment,recovery_completion_hours_mean,669.15118243243251,583.73627533783792,-8.9538811408572112,-0.12206049415390323,0.55555555555555558,decreasing,63.013510649764612,54.059629508907406,high,False,
