replication_prefix,candidate_index,moment,effect,effect_estimate,paired_mcse,analytic_mcse,replication_index_mcse,relative_disagreement,agreement_pass,snr,sign,prefix_32_estimate,prefix_32_sign,prefix_sign_stable,dominant_event,dominant_event_share,effective_event_count,analytic_convergence_slope,replication_index_convergence_slope,audit_classification,event_count,replication_count
16,0,maximum_downside_deviation_mean,ABC,-0.0014646229832154176,0.00014292291652494394,0.00014279416773973707,0.00014292291652494394,0.00090082674169605697,True,10.247642707177761,-1,-0.0014646229832154176,-1,True,calibration__20210616T110000Z,0.99997225436105741,1.0000554932905261,-0.3741196092937587,-0.36733046307910083,gate_pass,74,16
16,0,maximum_downside_deviation_mean,AC,0.0014646229832154176,0.00014292291652494394,0.00014279416773973707,0.00014292291652494394,0.00090082674169605697,True,10.247642707177761,1,0.0014646229832154176,1,True,calibration__20210616T110000Z,0.99997225436105741,1.0000554932905261,-0.3741196092937587,-0.36733046307910083,gate_pass,74,16
16,0,maximum_downside_deviation_mean,B,-0.0019109003065729095,0.00014298560872268593,0.00014298560872268593,0.00014152941988375325,0.010184163650741221,True,13.364284165681411,-1,-0.0019109003065729095,-1,True,calibration__20210616T110000Z,0.99709184887921332,1.0058378255881553,-0.3489429974306939,-0.36362472912119037,gate_pass,74,16
16,0,maximum_downside_deviation_mean,BC,0.0018828560866727257,0.00014280904080239717,0.00014280904080239717,0.00014266431318253289,0.0010134345770485061,True,13.184431994596244,1,0.0018828560866727257,1,True,calibration__20210616T110000Z,0.9999712462792324,1.0000575096238464,-0.34886024521770143,-0.36624351161462132,gate_pass,74,16
16,0,maximum_downside_deviation_mean,C,-0.0018828560866727257,0.00014280904080239717,0.00014280904080239717,0.00014266431318253289,0.0010134345770485061,True,13.184431994596244,-1,-0.0018828560866727257,-1,True,calibration__20210616T110000Z,0.9999712462792324,1.0000575096238464,-0.34886024521770143,-0.36624351161462132,gate_pass,74,16
16,0,recovery_completion_hours_mean,A,-5.1321790540540544,0.38305481140053743,0.36111136321880266,0.38305481140053743,0.057285400231638972,True,13.398027909608066,-1,-5.1321790540540544,-1,True,calibration__20210616T110000Z,0.52240245370257876,2.8791723043522457,-0.46204533878198945,-0.48360100563054015,gate_pass,74,16
16,0,recovery_completion_hours_mean,AB,0.85472972972972971,0.11294180488410689,0.11120056261995057,0.11294180488410689,0.015417163431583803,True,7.5678773737217551,1,0.85472972972972971,1,True,calibration__20210616T110000Z,0.9820026642066102,1.0367795385252179,-0.37917466256904125,-0.36895078552178467,gate_pass,74,16
16,0,recovery_completion_hours_mean,ABC,-0.85472972972972971,0.11294180488410689,0.11120056261995057,0.11294180488410689,0.015417163431583803,True,7.5678773737217551,-1,-0.85472972972972971,-1,True,calibration__20210616T110000Z,0.9820026642066102,1.0367795385252179,-0.37917466256904125,-0.36895078552178467,gate_pass,74,16
16,0,recovery_completion_hours_mean,AC,5.1321790540540544,0.38305481140053743,0.36111136321880266,0.38305481140053743,0.057285400231638972,True,13.398027909608066,1,5.1321790540540544,1,True,calibration__20210616T110000Z,0.52240245370257876,2.8791723043522457,-0.46204533878198945,-0.48360100563054015,gate_pass,74,16
16,0,recovery_completion_hours_mean,B,-1.292652027027027,0.11408560336263247,0.11408560336263247,0.10811553104794951,0.052329760624629351,True,11.330544686854164,-1,-1.292652027027027,-1,True,calibration__20210616T110000Z,0.88093050170654852,1.2843303811615996,-0.33781981606920558,-0.34573044500400674,gate_pass,74,16
16,0,recovery_completion_hours_mean,BC,1.1659628378378379,0.10916590700227025,0.10916590700227025,0.10864427282868874,0.0047783615590777373,True,10.680649937838105,1,1.1659628378378379,1,True,calibration__20210616T110000Z,0.97868479899917349,1.043714163872939,-0.35649575281592927,-0.36419955927900993,gate_pass,74,16
16,0,recovery_completion_hours_mean,C,-6.3133445945945947,0.41970890304034753,0.36960604450277784,0.41970890304034753,0.11937525788618591,True,15.042198411473009,-1,-6.3133445945945947,-1,True,calibration__20210616T110000Z,0.51138652367695903,2.8895608300084712,-0.46014097110787688,-0.51422509092086777,gate_pass,74,16
16,36,failed_recovery_attempts_mean,A,-0.0021114864864864866,0.00081959046328883083,0.00081959046328883083,0.00080863775992933958,0.013363629580974548,True,2.5762701996477237,-1,-0.0021114864864864866,-1,True,calibration__20210616T110000Z,0.35398230088495575,4.0646188126691083,-0.20074085236218731,-0.19643408200878429,gate_pass,74,16
16,36,failed_recovery_attempts_mean,AB,0.0021114864864864866,0.00081959046328883083,0.00081959046328883083,0.00080863775992933958,0.013363629580974548,True,2.5762701996477237,1,0.0021114864864864866,1,True,calibration__20210616T110000Z,0.35398230088495575,4.0646188126691083,-0.20074085236218731,-0.19643408200878429,gate_pass,74,16
16,36,failed_recovery_attempts_mean,ABC,-0.0021114864864864866,0.00081959046328883083,0.00081959046328883083,0.00080863775992933958,0.013363629580974548,True,2.5762701996477237,-1,-0.0021114864864864866,-1,True,calibration__20210616T110000Z,0.35398230088495575,4.0646188126691083,-0.20074085236218731,-0.19643408200878429,gate_pass,74,16
16,36,failed_recovery_attempts_mean,AC,0.0021114864864864866,0.00081959046328883083,0.00081959046328883083,0.00080863775992933958,0.013363629580974548,True,2.5762701996477237,1,0.0021114864864864866,1,True,calibration__20210616T110000Z,0.35398230088495575,4.0646188126691083,-0.20074085236218731,-0.19643408200878429,gate_pass,74,16
16,36,failed_recovery_attempts_mean,B,-0.028293918918918918,0.0068306941383088834,0.0068306941383088834,0.0067909817323395924,0.0058138170389697638,True,4.142173305672828,-1,-0.028293918918918918,-1,True,calibration__20210421T210000Z,0.24461714868136064,8.2151279148233307,-0.4355200604809113,-0.44393895151097518,gate_pass,74,16
16,36,failed_recovery_attempts_mean,BC,0.0021114864864864866,0.00081959046328883083,0.00081959046328883083,0.00080863775992933958,0.013363629580974548,True,2.5762701996477237,1,0.0021114864864864866,1,True,calibration__20210616T110000Z,0.35398230088495575,4.0646188126691083,-0.061045400676039398,-0.06148609083085229,gate_pass,74,16
16,36,failed_recovery_attempts_mean,C,-0.0021114864864864866,0.00081959046328883083,0.00081959046328883083,0.00080863775992933958,0.013363629580974548,True,2.5762701996477237,-1,-0.0021114864864864866,-1,True,calibration__20210616T110000Z,0.35398230088495575,4.0646188126691083,-0.061045400676039398,-0.06148609083085229,gate_pass,74,16
16,36,first_six_hour_burden_mean,A,-2.1669748396619171e-05,2.1669748396619168e-05,2.1669748396619168e-05,2.1669748396619168e-05,0,True,1.0000000000000002,-1,-2.1669748396619171e-05,-1,True,calibration__20200511T090000Z,1,1,-0.99972257834737155,-0.99976465911202428,gate_pass,74,16
16,36,first_six_hour_burden_mean,AB,2.1669748396619171e-05,2.1669748396619168e-05,2.1669748396619168e-05,2.1669748396619168e-05,0,True,1.0000000000000002,1,2.1669748396619171e-05,1,True,calibration__20200511T090000Z,1,1,-0.99972257834737155,-0.99976465911202428,gate_pass,74,16
16,36,first_six_hour_burden_mean,ABC,-2.1669748396619171e-05,2.1669748396619168e-05,2.1669748396619168e-05,2.1669748396619168e-05,0,True,1.0000000000000002,-1,-2.1669748396619171e-05,-1,True,calibration__20200511T090000Z,1,1,-0.99972257834737155,-0.99976465911202428,gate_pass,74,16
16,36,first_six_hour_burden_mean,AC,2.1669748396619171e-05,2.1669748396619168e-05,2.1669748396619168e-05,2.1669748396619168e-05,0,True,1.0000000000000002,1,2.1669748396619171e-05,1,True,calibration__20200511T090000Z,1,1,-0.99972257834737155,-0.99976465911202428,gate_pass,74,16
16,36,first_six_hour_burden_mean,B,-0.00016184522894827408,0.00015808092692976309,9.9294367021909963e-05,0.00015808092692976309,0.37187636136504043,False,1.0238124996583775,-1,-0.00016184522894827408,-1,True,calibration__20210421T210000Z,0.71943719303651277,1.7916175199048745,-0.029966747368045141,-0.23783123287397143,gate_pass,74,16
16,36,first_six_hour_burden_mean,BC,2.1669748396619174e-05,2.1669748396619171e-05,2.1669748396619171e-05,2.1669748396619171e-05,0,True,1.0000000000000002,1,2.1669748396619174e-05,1,True,calibration__20200511T090000Z,1,1,-0.99972257834737155,-0.99976465911202428,gate_pass,74,16
16,36,first_six_hour_burden_mean,C,-2.1669748396619174e-05,2.1669748396619171e-05,2.1669748396619171e-05,2.1669748396619171e-05,0,True,1.0000000000000002,-1,-2.1669748396619174e-05,-1,True,calibration__20200511T090000Z,1,1,-0.99972257834737155,-0.99976465911202428,gate_pass,74,16
16,36,initial_gap_q4_q1_burden_contrast,A,0,0,0,0,0,True,0,0,0,0,True,calibration__20200509T220000Z,0,38,,,gate_pass,74,16
16,36,initial_gap_q4_q1_burden_contrast,AB,0,0,0,0,0,True,0,0,0,0,True,calibration__20200509T220000Z,0,38,,,gate_pass,74,16
16,36,initial_gap_q4_q1_burden_contrast,ABC,0,0,0,0,0,True,0,0,0,0,True,calibration__20200509T220000Z,0,38,,,gate_pass,74,16
16,36,initial_gap_q4_q1_burden_contrast,AC,0,0,0,0,0,True,0,0,0,0,True,calibration__20200509T220000Z,0,38,,,gate_pass,74,16
16,36,initial_gap_q4_q1_burden_contrast,B,-0.00032801913074377261,0.00032801913074377267,0.00032801913074377267,0.00032801913074377267,0,True,0.99999999999999989,-1,-0.00032801913074377261,-1,True,calibration__20210421T210000Z,1,1,0.13891015618320432,0.14085474406836665,gate_pass,74,16
16,36,initial_gap_q4_q1_burden_contrast,BC,0,0,0,0,0,True,0,0,0,0,True,calibration__20200509T220000Z,0,38,,,gate_pass,74,16
16,36,initial_gap_q4_q1_burden_contrast,C,0,0,0,0,0,True,0,0,0,0,True,calibration__20200509T220000Z,0,38,,,gate_pass,74,16
16,36,maximum_downside_deviation_mean,A,-3.9561996042802376e-06,1.1564404076010139e-06,1.1564404076010139e-06,1.0825679705928632e-06,0.063879155832504933,True,3.4210146742340179,-1,-3.9561996042802376e-06,-1,True,calibration__20200509T220000Z,0.25801672797986658,5.6781985302798903,-0.19671940905389687,-0.15491057444800074,gate_pass,74,16
16,36,maximum_downside_deviation_mean,AB,3.9561996042802376e-06,1.1564404076010139e-06,1.1564404076010139e-06,1.0825679705928632e-06,0.063879155832504933,True,3.4210146742340179,1,3.9561996042802376e-06,1,True,calibration__20200509T220000Z,0.25801672797986658,5.6781985302798903,-0.19671940905389687,-0.15491057444800074,gate_pass,74,16
16,36,maximum_downside_deviation_mean,ABC,-3.9561996042802376e-06,1.1564404076010139e-06,1.1564404076010139e-06,1.0825679705928632e-06,0.063879155832504933,True,3.4210146742340179,-1,-3.9561996042802376e-06,-1,True,calibration__20200509T220000Z,0.25801672797986658,5.6781985302798903,-0.19671940905389687,-0.15491057444800074,gate_pass,74,16
16,36,maximum_downside_deviation_mean,AC,3.9561996042802376e-06,1.1564404076010139e-06,1.1564404076010139e-06,1.0825679705928632e-06,0.063879155832504933,True,3.4210146742340179,1,3.9561996042802376e-06,1,True,calibration__20200509T220000Z,0.25801672797986658,5.6781985302798903,-0.19671940905389687,-0.15491057444800074,gate_pass,74,16
16,36,maximum_downside_deviation_mean,B,-4.160259480820776e-05,1.0337739939147534e-05,1.0337739939147534e-05,1.0038901575308768e-05,0.028907514176005525,True,4.0243413989033252,-1,-4.160259480820776e-05,-1,True,calibration__20210328T190000Z,0.37539062617069835,4.2607686840646606,-0.62959712636572374,-0.61276752864237249,gate_pass,74,16
16,36,maximum_downside_deviation_mean,BC,4.3807454337830745e-06,1.1689442572117949e-06,1.1689442572117949e-06,1.1605578997266287e-06,0.0071743005993884232,True,3.7476084995123511,1,4.3807454337830745e-06,1,True,calibration__20200509T220000Z,0.2649770986615208,5.6203872575006235,-0.20652935865279631,-0.17873903053466031,gate_pass,74,16
16,36,maximum_downside_deviation_mean,C,-4.3807454337830745e-06,1.1689442572117949e-06,1.1689442572117949e-06,1.1605578997266287e-06,0.0071743005993884232,True,3.7476084995123511,-1,-4.3807454337830745e-06,-1,True,calibration__20200509T220000Z,0.2649770986615208,5.6203872575006235,-0.20652935865279631,-0.17873903053466031,gate_pass,74,16
16,36,recovery_completion_hours_mean,A,-4.3146114864864868,0.32256981247001493,0.29551168794299892,0.32256981247001493,0.083883002937639242,True,13.375744783580949,-1,-4.3146114864864868,-1,True,calibration__20210920T030000Z,0.35225969155936543,4.0852561668672775,-0.4412109020144569,-0.47052652121202831,gate_pass,74,16
16,36,recovery_completion_hours_mean,AB,0.037162162162162164,0.026152445775005615,0.02377775048565408,0.026152445775005615,0.090802034722927388,True,1.4209822852468637,1,0.037162162162162164,1,True,calibration__20200509T220000Z,0.55610871622332037,2.4549738088074853,-0.1867409867907017,-0.24648467174626534,gate_pass,74,16
16,36,recovery_completion_hours_mean,ABC,-0.037162162162162164,0.026152445775005615,0.02377775048565408,0.026152445775005615,0.090802034722927388,True,1.4209822852468637,-1,-0.037162162162162164,-1,True,calibration__20200509T220000Z,0.55610871622332037,2.4549738088074853,-0.1867409867907017,-0.24648467174626534,gate_pass,74,16
16,36,recovery_completion_hours_mean,AC,4.3146114864864868,0.32256981247001493,0.29551168794299892,0.32256981247001493,0.083883002937639242,True,13.375744783580949,1,4.3146114864864868,1,True,calibration__20210920T030000Z,0.35225969155936543,4.0852561668672775,-0.4412109020144569,-0.47052652121202831,gate_pass,74,16
16,36,recovery_completion_hours_mean,B,-0.3627533783783784,0.12265193474699713,0.12265193474699713,0.10978164952600392,0.10493340563719335,True,2.9575838255356963,-1,-0.3627533783783784,-1,True,calibration__20201121T170000Z,0.44616064280515183,3.1787702735377183,-0.50383086890340412,-0.45064373648894879,gate_pass,74,16
16,36,recovery_completion_hours_mean,BC,0.034206081081081079,0.02688036466634729,0.024651216641185775,0.02688036466634729,0.08292848898557853,True,1.2725303955383156,1,0.034206081081081079,1,True,calibration__20200509T220000Z,0.58736035842153655,2.3263797724368676,-0.20569795350194139,-0.25795841964907679,gate_pass,74,16
16,36,recovery_completion_hours_mean,C,-5.1815878378378377,0.36785283099975091,0.30531461823530326,0.36785283099975091,0.17000878474818643,False,14.086034960653453,-1,-5.1815878378378377,-1,True,calibration__20210920T030000Z,0.38080659540520451,3.8268157357999217,-0.44983344360147653,-0.51218271583860642,gate_pass,74,16
16,42,failed_recovery_attempts_mean,A,0.00021114864864864866,0.00021114864864864866,0.00021114864864864863,0.00021114864864864866,1.2836953722228372e-16,True,1,1,0.00021114864864864866,1,True,calibration__20200317T160000Z,1,1,-0.035051263628076201,0.03540660517176486,gate_pass,74,16
16,42,failed_recovery_attempts_mean,AB,-0.00021114864864864866,0.00021114864864864866,0.00021114864864864863,0.00021114864864864866,1.2836953722228372e-16,True,1,-1,-0.00021114864864864866,-1,True,calibration__20200317T160000Z,1,1,-0.035051263628076201,0.03540660517176486,gate_pass,74,16
16,42,failed_recovery_attempts_mean,ABC,0.00021114864864864866,0.00021114864864864866,0.00021114864864864863,0.00021114864864864866,1.2836953722228372e-16,True,1,1,0.00021114864864864866,1,True,calibration__20200317T160000Z,1,1,-0.035051263628076201,0.03540660517176486,gate_pass,74,16
16,42,failed_recovery_attempts_mean,AC,-0.00021114864864864866,0.00021114864864864866,0.00021114864864864863,0.00021114864864864866,1.2836953722228372e-16,True,1,-1,-0.00021114864864864866,-1,True,calibration__20200317T160000Z,1,1,-0.035051263628076201,0.03540660517176486,gate_pass,74,16
16,42,failed_recovery_attempts_mean,B,-0.22022804054054054,0.010581475999887459,0.010249304174078148,0.010581475999887459,0.031391823391447811,True,20.812601242291983,-1,-0.22022804054054054,-1,True,calibration__20201102T090000Z,0.028973205443793681,44.213525790115668,-0.49519989236657869,-0.52058685858528664,gate_pass,74,16
16,42,failed_recovery_attempts_mean,BC,-0.00021114864864864866,0.00021114864864864866,0.00021114864864864863,0.00021114864864864866,1.2836953722228372e-16,True,1,-1,-0.00021114864864864866,-1,True,calibration__20200317T160000Z,1,1,-0.0080608775323919371,0.098710252512079683,finite_replication_instability,74,16
16,42,failed_recovery_attempts_mean,C,0.00021114864864864866,0.00021114864864864866,0.00021114864864864863,0.00021114864864864866,1.2836953722228372e-16,True,1,1,0.00021114864864864866,1,True,calibration__20200317T160000Z,1,1,-0.0080608775323919371,0.098710252512079683,finite_replication_instability,74,16
16,42,first_six_hour_burden_mean,A,-0.00095320541720210765,0.00038286045756286385,0.00038286045756286385,0.00033753876976719098,0.11837651786808322,True,2.4896940866388531,-1,-0.00095320541720210765,-1,True,calibration__20210206T010000Z,0.56775681611766948,2.3736942262674625,-0.37215819557851171,-0.30655373011667741,gate_pass,74,16
16,42,first_six_hour_burden_mean,AB,0.00010861082260751309,0.00041648811393545641,0.00038286045756286385,0.00041648811393545641,0.080740974946055408,True,0.26077772443788066,1,0.00010861082260751309,1,True,calibration__20210206T010000Z,0.56775681611766948,2.3736942262674625,-0.37215819557851171,-0.36145219933357026,gate_pass,74,16
16,42,first_six_hour_burden_mean,ABC,-0.00010861082260751309,0.00041648811393545641,0.00038286045756286385,0.00041648811393545641,0.080740974946055408,True,0.26077772443788066,-1,-0.00010861082260751309,-1,True,calibration__20210206T010000Z,0.56775681611766948,2.3736942262674625,-0.37215819557851171,-0.36145219933357026,gate_pass,74,16
16,42,first_six_hour_burden_mean,AC,0.00095320541720210765,0.00038286045756286385,0.00038286045756286385,0.00033753876976719098,0.11837651786808322,True,2.4896940866388531,1,0.00095320541720210765,1,True,calibration__20210206T010000Z,0.56775681611766948,2.3736942262674625,-0.37215819557851171,-0.30655373011667741,gate_pass,74,16
16,42,first_six_hour_burden_mean,B,-0.44626077797275648,0.014626602037073543,0.010256535382541508,0.014626602037073543,0.29877524823984258,False,30.510215348830489,-1,-0.44626077797275648,-1,True,calibration__20210409T070000Z,0.028932365642771199,45.849268188947939,-0.49004382364161642,-0.6641305280977462,gate_pass,74,16
16,42,first_six_hour_burden_mean,BC,0.00041268710373029564,0.00059177877269752331,0.00052115019215026441,0.00059177877269752331,0.11934963504234951,True,0.69736719661155022,1,0.00041268710373029564,1,True,calibration__20200317T160000Z,0.49655159069442006,2.7176817776333548,-0.47703209134514518,-0.49998941093789617,gate_pass,74,16
16,42,first_six_hour_burden_mean,C,-0.0012572816983248902,0.00052115019215026441,0.00052115019215026441,0.00050638854984197488,0.028325121108337362,True,2.4125131627359648,-1,-0.0012572816983248902,-1,True,calibration__20200317T160000Z,0.49655159069442006,2.7176817776333548,-0.47703209134514518,-0.46521891058753317,gate_pass,74,16
16,42,initial_gap_q4_q1_burden_contrast,A,-0.0016447548686170494,0.0011235691630787747,0.0011235691630787747,0.0011235674038699811,1.5657325346955521e-06,True,1.4638661532060344,-1,-0.0016447548686170494,-1,True,calibration__20210206T010000Z,0.99999999974259102,1.000000000514818,-0.59124022595698122,-0.58148372923998182,gate_pass,74,16
16,42,initial_gap_q4_q1_burden_contrast,AB,-0.0016447188155934772,0.0011235709222848142,0.0011235691630787747,0.0011235709222848142,1.565727631990809e-06,True,1.4638317732973132,-1,-0.0016447188155934772,-1,True,calibration__20210206T010000Z,0.99999999974259102,1.000000000514818,-0.59124022595698122,-0.5971978104055079,gate_pass,74,16
16,42,initial_gap_q4_q1_burden_contrast,ABC,0.0016447188155934772,0.0011235709222848142,0.0011235691630787747,0.0011235709222848142,1.565727631990809e-06,True,1.4638317732973132,1,0.0016447188155934772,1,True,calibration__20210206T010000Z,0.99999999974259102,1.000000000514818,-0.59124022595698122,-0.5971978104055079,gate_pass,74,16
