family,variant_id,candidate_index,absolute_band_gap_reduction,absolute_band_gap_reduction_scales,baseline_gap_scales,baseline_moment,baseline_outer_pass,baseline_signed_gap,moment,movement_towards_band,paired_mcse,paired_shift,paired_snr,shift_scales,variant_gap_scales,variant_moment,variant_outer_pass,variant_signed_gap,active_bad_debt_change,baseline_numerical_bound_pass,censoring_change,stage1_preservation_pass,structural_pass,unresolved_backlog_change,variant_numerical_bound_pass
liquidation_capacity,capacity_10,0,0,0,-0.37610837006956482,0.036317567567567564,False,-0.48836521665243238,failed_recovery_attempts_mean,False,0,0,0,0,-0.37610837006956482,0.036317567567567564,False,-0.48836521665243238,0,False,0,True,True,0,False
liquidation_capacity,capacity_10,0,0,0,-3.1525781712326246,9.9169832725989941e-05,False,-0.077461943179273907,first_six_hour_burden_mean,False,0,0,0,0,-3.1525781712326246,9.9169832725989941e-05,False,-0.077461943179273907,0,False,0,True,True,0,False
liquidation_capacity,capacity_10,0,0,0,-6.3274202153587487,9.928944489116299e-05,False,-0.45511235383010873,initial_gap_q4_q1_burden_contrast,False,0,0,0,0,-6.3274202153587487,9.928944489116299e-05,False,-0.45511235383010873,0,False,0,True,True,0,False
liquidation_capacity,capacity_10,0,0,0,4.9851822562086294,0.0070321624858553193,False,0.0027102379895756193,maximum_downside_deviation_mean,False,0,0,0,0,4.9851822562086294,0.0070321624858553193,False,0.0027102379895756193,0,False,0,True,True,0,False
liquidation_capacity,capacity_10,0,0,0,2.0431855941514234,87.529138513513516,False,19.490822466373515,recovery_completion_hours_mean,False,0,0,0,0,2.0431855941514234,87.529138513513516,False,19.490822466373515,0,False,0,True,True,0,False
liquidation_capacity,capacity_10,36,0,0,-0.370416897789762,0.043707770270270271,False,-0.48097501394972964,failed_recovery_attempts_mean,False,0,0,0,0,-0.370416897789762,0.043707770270270271,False,-0.48097501394972964,0,True,0,True,True,0,True
liquidation_capacity,capacity_10,36,0,0,-3.1439047544275938,0.00031228420554384444,False,-0.07724882880645606,first_six_hour_burden_mean,False,0,0,0,0,-3.1439047544275938,0.00031228420554384444,False,-0.07724882880645606,0,True,0,True,True,0,True
liquidation_capacity,capacity_10,36,0,0,-6.3343579870496978,-0.00039972365952370458,False,-0.45561136693452364,initial_gap_q4_q1_burden_contrast,False,0,0,0,0,-6.3343579870496978,-0.00039972365952370458,False,-0.45561136693452364,0,True,0,True,True,0,True
liquidation_capacity,capacity_10,36,0,0,-3.8422722329024253,5.8404520909280241e-05,False,-0.0020888849467709195,maximum_downside_deviation_mean,False,0,0,0,0,-3.8422722329024253,5.8404520909280241e-05,False,-0.0020888849467709195,0,True,0,True,True,0,True
liquidation_capacity,capacity_10,36,0,0,1.6205531078933972,83.49746621621621,False,15.45915016907621,recovery_completion_hours_mean,False,0,0,0,0,1.6205531078933972,83.49746621621621,False,15.45915016907621,0,True,0,True,True,0,True
