moment,empirical_band_lower,empirical_band_upper,empirical_scale,simulated_mean_minimum,simulated_mean_p05,simulated_mean_median,simulated_mean_p95,simulated_mean_maximum,mc_lower_minimum,mc_lower_maximum,mc_upper_minimum,mc_upper_maximum,intervals_below_band,intervals_overlapping_band,intervals_above_band,means_inside_band,inner_passes,minimum_absolute_gap,median_absolute_gap,maximum_absolute_gap,minimum_absolute_gap_scales,median_absolute_gap_scales,maximum_absolute_gap_scales,median_signed_gap,median_signed_gap_scales,failing_only_this_moment,otherwise_outer_hard_gate_failures,numerical_bound_failures,numerical_failures_with_mean_below,numerical_failures_with_mean_inside,numerical_failures_with_mean_above,structural_failures,stage1_preservation_failures,numerical_failures_with_active_bad_debt,numerical_failures_with_unresolved_backlog,cofailure_counts,baseline_mismatch_classification
first_six_hour_burden_mean,0.077561113011999902,0.1758450431439999,0.024570982533,8.9409737425217323e-05,0.00012886995623664999,0.3926031819493852,0.71713479647849931,0.77260533715996293,1.3908087826954617e-05,0.76454000594298188,0.00016491138702339999,0.78067066837694377,70,15,171,13,11,0,0.2167581388053853,0.59676029401596309,0,8.8217122988170615,24.287197030663531,0.2167581388053853,8.8217122988170615,0,0,203,20,12,171,0,0,203,203,"{""failed_recovery_attempts_mean"":233,""initial_gap_q4_q1_burden_contrast"":241,""maximum_downside_deviation_mean"":240,""recovery_completion_hours_mean"":241}",mixed_location_mismatch
maximum_downside_deviation_mean,0.0021472894676801998,0.0043219244962797001,0.00054365875714980003,1.8050644702056221e-05,3.131158403085761e-05,0.40072439205786392,0.48290197423986475,0.49186444256756739,1.3987630049445337e-05,0.49095672364584309,2.2113659354667107e-05,0.4927721614892917,51,1,204,1,1,0,0.39640246756158415,0.48754251807128768,0,729.13838386375744,896.78040068238977,0.39640246756158415,729.13838386375744,0,0,203,0,0,203,0,0,203,203,"{""failed_recovery_attempts_mean"":246,""first_six_hour_burden_mean"":240,""initial_gap_q4_q1_burden_contrast"":255,""recovery_completion_hours_mean"":255}",no_systematic_location_mismatch
recovery_completion_hours_mean,29.880602871860003,68.03831604714,9.5394282938200003,83.139991554054049,83.174725506756758,611.84248310810813,726.08192567567562,738.60071790540542,82.642943705408186,737.32717342900639,83.637039402699898,739.87426238180444,0,0,256,0,0,15.101675506914049,543.8041670609681,670.56240185826539,1.5830797236242637,57.005949445970977,70.293772457274073,543.8041670609681,57.005949445970977,0,0,203,0,0,203,0,0,203,203,"{""failed_recovery_attempts_mean"":247,""first_six_hour_burden_mean"":241,""initial_gap_q4_q1_burden_contrast"":256,""maximum_downside_deviation_mean"":255}",systematically_above_band
failed_recovery_attempts_mean,0.52468278421999992,5.7185604590200008,1.2984694187000001,0.0145692567567567,0.025232263513513424,0.23807010135135129,0.34332770270270263,2.0466638513513513,0.0111254840968423,1.9609698609119293,0.018013029416671201,2.1323578417907738,247,9,0,9,7,0,0.2866126828686486,0.51011352746324323,0,0.22073117683094848,0.39285755992155597,-0.2866126828686486,-0.22073117683094848,0,0,203,201,2,0,0,0,203,203,"{""first_six_hour_burden_mean"":233,""initial_gap_q4_q1_burden_contrast"":247,""maximum_downside_deviation_mean"":246,""recovery_completion_hours_mean"":247}",systematically_below_band
initial_gap_q4_q1_burden_contrast,0.45521164327499991,0.74291964327500004,0.071927000000000005,-0.10487617820183701,-0.077605506259451618,-0.0264521101361633,0.0042436484883364503,0.043406046434379203,-0.1243109744518508,0.0294112137009209,-0.085441381951823298,0.0574008791678376,256,0,0,0,0,0.41180559684062068,0.48166375341116319,0.56008782147683689,5.7253270237966358,6.6965639246897988,7.7868925643616009,-0.48166375341116319,-6.6965639246897988,0,0,203,203,0,0,0,0,203,203,"{""failed_recovery_attempts_mean"":247,""first_six_hour_burden_mean"":241,""maximum_downside_deviation_mean"":255,""recovery_completion_hours_mean"":256}",systematically_below_band
