moment,candidate_index,empirical_value,empirical_scale,finite_empirical_support,simulated_value,simulated_panel_range,mcse,mcse_threshold,mcse_pass,convergence_status,regular_convergence,right_censoring_involved,right_censoring_share,numerical_bound_share,active_bad_debt_share,unresolved_backlog_share,deterministic_calculation_failure,moment_mcse_pass_count,moment_regular_convergence_count,moment_operational
first_six_hour_burden_mean,0,0.12670307807799999,0.024570982533,True,7.6994473675726479e-05,0.73414812225596082,1.6951241029652957e-05,0.0024570982532999999,True,faster_than_expected_or_floor_effect,False,True,0.013724662162162162,0.013671875,0.00026393581081081083,0.17557010135135134,False,10,14,False
first_six_hour_burden_mean,36,0.12670307807799999,0.024570982533,True,0.0003540025551562,0.73414812225596082,8.2138678678182452e-05,0.0024570982532999999,True,regular_convergence,True,True,0.00052787162162162165,0,0.00026393581081081083,0.17583403716216217,False,10,14,False
first_six_hour_burden_mean,42,0.12670307807799999,0.024570982533,True,0.73421676592791996,0.73414812225596082,0.0028026480168461998,0.0024570982532999999,False,regular_convergence,True,True,0.97571790540540537,0.97571790540540537,0.034417229729729729,0.46077913851351349,False,10,14,False
first_six_hour_burden_mean,94,0.12670307807799999,0.024570982533,True,0.72051919188694635,0.73414812225596082,0.0028643031886546001,0.0024570982532999999,False,regular_convergence,True,True,0.97423986486486491,0.97423986486486491,0.034364442567567564,0.46009290540540543,False,10,14,False
first_six_hour_burden_mean,97,0.12670307807799999,0.024570982533,True,0.71052984762579874,0.73414812225596082,0.0028790649631226001,0.0024570982532999999,False,regular_convergence,True,True,0.98902027027027029,0.98902027027027029,0.034470016891891893,0.4631545608108108,False,10,14,False
first_six_hour_burden_mean,100,0.12670307807799999,0.024570982533,True,0.0023038937040476999,0.73414812225596082,0.00018858908925670001,0.0024570982532999999,True,regular_convergence,True,True,0.00073902027027027031,0,0.00036951013513513516,0.17673141891891891,False,10,14,False
first_six_hour_burden_mean,103,0.12670307807799999,0.024570982533,True,0.0246947586547192,0.73414812225596082,0.00096349342004620002,0.0024570982532999999,True,regular_convergence,True,True,0.2000633445945946,0.19995777027027026,0.011560388513513514,0.20550042229729729,False,10,14,False
first_six_hour_burden_mean,116,0.12670307807799999,0.024570982533,True,0.27818845364008332,0.73414812225596082,0.0022793271413468,0.0024570982532999999,True,regular_convergence,True,True,0.6654877533783784,0.6654877533783784,0.029719172297297296,0.36417863175675674,False,10,14,False
first_six_hour_burden_mean,126,0.12670307807799999,0.024570982533,True,0.46748323539445269,0.73414812225596082,0.0026484641532577,0.0024570982532999999,False,regular_convergence,True,True,0.80679898648648651,0.80679898648648651,0.032569679054054057,0.41131756756756754,False,10,14,False
first_six_hour_burden_mean,127,0.12670307807799999,0.024570982533,True,0.039207028150239798,0.73414812225596082,0.0012105487977423,0.0024570982532999999,True,regular_convergence,True,True,0.56661739864864868,0.56661739864864868,0.031619510135135136,0.33393158783783783,False,10,14,False
first_six_hour_burden_mean,134,0.12670307807799999,0.024570982533,True,0.69986958413331546,0.73414812225596082,0.0028405580151615001,0.0024570982532999999,False,regular_convergence,True,True,0.96706081081081086,0.96706081081081086,0.034364442567567564,0.45761190878378377,False,10,14,False
first_six_hour_burden_mean,171,0.12670307807799999,0.024570982533,True,6.8643671959144455e-05,0.73414812225596082,1.5889711137570393e-05,0.0024570982532999999,True,faster_than_expected_or_floor_effect,False,True,0.00047508445945945949,0,0.00026393581081081083,0.1755173141891892,False,10,14,False
first_six_hour_burden_mean,193,0.12670307807799999,0.024570982533,True,0.015641266817999499,0.73414812225596082,0.00076879493781930003,0.0024570982532999999,True,regular_convergence,True,True,0.10050675675675676,0.10040118243243243,0.0042229729729729732,0.19341216216216217,False,10,14,False
first_six_hour_burden_mean,203,0.12670307807799999,0.024570982533,True,0.20468533115811591,0.73414812225596082,0.0021308284058290002,0.0024570982532999999,True,regular_convergence,True,True,0.7333192567567568,0.7333192567567568,0.032464104729729729,0.39358108108108109,False,10,14,False
first_six_hour_burden_mean,222,0.12670307807799999,0.024570982533,True,0.5828544561384541,0.73414812225596082,0.0029081973830216998,0.0024570982532999999,False,regular_convergence,True,True,0.92752322635135132,0.92752322635135132,0.033150337837837836,0.44594594594594594,False,10,14,False
first_six_hour_burden_mean,252,0.12670307807799999,0.024570982533,True,0.24253611614684309,0.73414812225596082,0.0022879140007808999,0.0024570982532999999,True,regular_convergence,True,True,0.56044130067567566,0.56044130067567566,0.026763091216216218,0.32400760135135137,False,10,14,False
maximum_downside_deviation_mean,0,0.00323460698198,0.00054365875714999996,True,0.0068194611537275001,0.48954829313589265,0.00016944076114259999,5.4365875714999998e-05,False,slow_or_unstable_convergence,False,True,0.013724662162162162,0.013671875,0.00026393581081081083,0.17557010135135134,False,3,15,False
maximum_downside_deviation_mean,36,0.00323460698198,0.00054365875714999996,True,5.8308062702266561e-05,0.48954829313589265,2.9690642113916591e-06,5.4365875714999998e-05,True,regular_convergence,True,True,0.00052787162162162165,0,0.00026393581081081083,0.17583403716216217,False,3,15,False
maximum_downside_deviation_mean,42,0.00323460698198,0.00054365875714999996,True,0.48298036317567572,0.48954829313589265,0.00053513325386140003,5.4365875714999998e-05,False,regular_convergence,True,True,0.97571790540540537,0.97571790540540537,0.034417229729729729,0.46077913851351349,False,3,15,False
maximum_downside_deviation_mean,94,0.00323460698198,0.00054365875714999996,True,0.48224873310810812,0.48954829313589265,0.00055125647227670003,5.4365875714999998e-05,False,regular_convergence,True,True,0.97423986486486491,0.97423986486486491,0.034364442567567564,0.46009290540540543,False,3,15,False
maximum_downside_deviation_mean,97,0.00323460698198,0.00054365875714999996,True,0.48956503378378369,0.48954829313589265,0.00035997153310610001,5.4365875714999998e-05,False,regular_convergence,True,True,0.98902027027027029,0.98902027027027029,0.034470016891891893,0.4631545608108108,False,3,15,False
maximum_downside_deviation_mean,100,0.00323460698198,0.00054365875714999996,True,0.00018436205345839999,0.48954829313589265,4.7024609767745432e-06,5.4365875714999998e-05,True,regular_convergence,True,True,0.00073902027027027031,0,0.00036951013513513516,0.17673141891891891,False,3,15,False
maximum_downside_deviation_mean,103,0.00323460698198,0.00054365875714999996,True,0.099035084471778501,0.48954829313589265,0.0010775271745721,5.4365875714999998e-05,False,regular_convergence,True,True,0.2000633445945946,0.19995777027027026,0.011560388513513514,0.20550042229729729,False,3,15,False
maximum_downside_deviation_mean,116,0.00323460698198,0.00054365875714999996,True,0.32941682653867271,0.48954829313589265,0.0014919497001247,5.4365875714999998e-05,False,regular_convergence,True,True,0.6654877533783784,0.6654877533783784,0.029719172297297296,0.36417863175675674,False,3,15,False
maximum_downside_deviation_mean,126,0.00323460698198,0.00054365875714999996,True,0.39936549831081081,0.48954829313589265,0.0012792322861474,5.4365875714999998e-05,False,regular_convergence,True,True,0.80679898648648651,0.80679898648648651,0.032569679054054057,0.41131756756756754,False,3,15,False
maximum_downside_deviation_mean,127,0.00323460698198,0.00054365875714999996,True,0.28047870457333551,0.48954829313589265,0.0013392399494437,5.4365875714999998e-05,False,regular_convergence,True,True,0.56661739864864868,0.56661739864864868,0.031619510135135136,0.33393158783783783,False,3,15,False
maximum_downside_deviation_mean,134,0.00323460698198,0.00054365875714999996,True,0.4786951013513514,0.48954829313589265,0.00061367210100270002,5.4365875714999998e-05,False,regular_convergence,True,True,0.96706081081081086,0.96706081081081086,0.034364442567567564,0.45761190878378377,False,3,15,False
maximum_downside_deviation_mean,171,0.00323460698198,0.00054365875714999996,True,1.6740647891008518e-05,0.48954829313589265,1.1184836797751367e-06,5.4365875714999998e-05,True,regular_convergence,True,True,0.00047508445945945949,0,0.00026393581081081083,0.1755173141891892,False,3,15,False
maximum_downside_deviation_mean,193,0.00323460698198,0.00054365875714999996,True,0.0497727478699974,0.48954829313589265,0.00085959333677269997,5.4365875714999998e-05,False,regular_convergence,True,True,0.10050675675675676,0.10040118243243243,0.0042229729729729732,0.19341216216216217,False,3,15,False
maximum_downside_deviation_mean,203,0.00323460698198,0.00054365875714999996,True,0.36299397542764122,0.48954829313589265,0.001248996754368,5.4365875714999998e-05,False,regular_convergence,True,True,0.7333192567567568,0.7333192567567568,0.032464104729729729,0.39358108108108109,False,3,15,False
maximum_downside_deviation_mean,222,0.00323460698198,0.00054365875714999996,True,0.45912399704391899,0.48954829313589265,0.00087589849165229999,5.4365875714999998e-05,False,regular_convergence,True,True,0.92752322635135132,0.92752322635135132,0.033150337837837836,0.44594594594594594,False,3,15,False
maximum_downside_deviation_mean,252,0.00323460698198,0.00054365875714999996,True,0.27741900205260422,0.48954829313589265,0.0015089236985646999,5.4365875714999998e-05,False,regular_convergence,True,True,0.56044130067567566,0.56044130067567566,0.026763091216216218,0.32400760135135137,False,3,15,False
recovery_completion_hours_mean,0,48.959459459500003,9.5394282938200003,True,87.552100929054049,652.02486275337844,0.21838936187691241,0.95394282938200003,True,regular_convergence,True,True,0.013724662162162162,0.013671875,0.00026393581081081083,0.17557010135135134,False,8,16,False
recovery_completion_hours_mean,36,48.959459459500003,9.5394282938200003,True,83.713893581081095,652.02486275337844,0.1785380894911488,0.95394282938200003,True,regular_convergence,True,True,0.00052787162162162165,0,0.00026393581081081083,0.17583403716216217,False,8,16,False
recovery_completion_hours_mean,42,48.959459459500003,9.5394282938200003,True,726.21500211148646,652.02486275337844,0.74710475997364933,0.95394282938200003,True,regular_convergence,True,True,0.97571790540540537,0.97571790540540537,0.034417229729729729,0.46077913851351349,False,8,16,False
