cell_id,candidate_index,moment,simulated_mean,hierarchical_mcse,analytic_mcse,replication_index_mcse,mcse_relative_disagreement,mcse_agreement_pass,mc_interval_lower,mc_interval_upper,empirical_band_lower,empirical_band_upper,empirical_scale,signed_band_gap,absolute_band_gap,normalised_band_gap,inner_pass,outer_pass,censoring_share,numerical_bound_share,numerical_bound_pass,active_bad_debt_occurrence,unresolved_backlog_occurrence,maximum_active_bad_debt_dai,maximum_unresolved_tab_dai,structural_validity,stage1_preservation,confidence_floor_binding_share,recovery_probability_48h,recovery_probability_168h,recovery_probability_792h,failed_recovery_attempts_diagnostic,result_checksum
000,0,failed_recovery_attempts_mean,0.041068412162162164,0.0028581628521188412,0.0028581628521188412,0.002769553009023441,0.031002377289212596,True,0.036366734270426672,0.045770090053897657,0.52468278421999992,5.7185604590200008,1.2984694187000001,-0.48361437205783775,0.48361437205783775,-0.37244956646112015,False,False,0.013724662162162162,0.052129124406022236,False,True,True,149.40602388603622,1311147.5242342351,True,True,0,0.30553209459459457,0.9213471283783784,0.98627533783783783,0.041068412162162164,91d2b70836ad85033c12b16d6b57e04e6173a2ccd3d152baf5f73dceb40b1f45
000,0,first_six_hour_burden_mean,9.3485082467854326e-05,2.9444211476140013e-05,2.9319335732943225e-05,2.9444211476140013e-05,0.0042410965326064578,True,4.5049354589604005e-05,0.00014192081034610464,0.077561113011999902,0.1758450431439999,0.024570982533,-0.077467627929532046,0.077467627929532046,-3.1528095315476024,False,False,0.013724662162162162,0.052129124406022236,False,True,True,149.40602388603622,1311147.5242342351,True,True,0,0.30553209459459457,0.9213471283783784,0.98627533783783783,0.041068412162162164,91d2b70836ad85033c12b16d6b57e04e6173a2ccd3d152baf5f73dceb40b1f45
000,0,initial_gap_q4_q1_burden_contrast,9.0755719850703766e-05,6.4230332204684375e-05,6.4230332204684375e-05,6.3977847601360356e-05,0.0039309247618309036,True,-1.4903176626002035e-05,0.00019641461632740958,0.45521164327499991,0.74291964327500004,0.071927000000000005,-0.45512088755514923,0.45512088755514923,-6.3275388596097324,False,False,0.013724662162162162,0.052129124406022236,False,True,True,149.40602388603622,1311147.5242342351,True,True,0,0.30553209459459457,0.9213471283783784,0.98627533783783783,0.041068412162162164,91d2b70836ad85033c12b16d6b57e04e6173a2ccd3d152baf5f73dceb40b1f45
000,0,maximum_downside_deviation_mean,0.0068177711375776604,0.00021601674572037055,0.00021601674572037055,0.00020944299581803592,0.030431668065420338,True,0.0064624235908676509,0.00717311868428767,0.0021472894676801998,0.0043219244962797001,0.00054365875714980003,0.0024958466412979604,0.0024958466412979604,4.5908331439058445,False,False,0.013724662162162162,0.052129124406022236,False,True,True,149.40602388603622,1311147.5242342351,True,True,0,0.30553209459459457,0.9213471283783784,0.98627533783783783,0.041068412162162164,91d2b70836ad85033c12b16d6b57e04e6173a2ccd3d152baf5f73dceb40b1f45
000,0,recovery_completion_hours_mean,87.404032939189193,0.28681804832335578,0.28062742556003284,0.28681804832335578,0.021583797810184154,True,86.932217249697274,87.875848628681112,29.880602871860003,68.03831604714,9.5394282938200003,19.365716892049193,19.365716892049193,2.0300710163726512,False,False,0.013724662162162162,0.052129124406022236,False,True,True,149.40602388603622,1311147.5242342351,True,True,0,0.30553209459459457,0.9213471283783784,0.98627533783783783,0.041068412162162164,91d2b70836ad85033c12b16d6b57e04e6173a2ccd3d152baf5f73dceb40b1f45
000,36,failed_recovery_attempts_mean,0.048036317567567564,0.0037748292265293109,0.0037748292265293109,0.0037226451534088105,0.013824220908790605,True,0.041826723489926845,0.054245911645208283,0.52468278421999992,5.7185604590200008,1.2984694187000001,-0.47664646665243238,0.47664646665243238,-0.36708332116873471,False,False,0.00042229729729729732,0,True,True,True,149.40602388603622,1311147.5242342351,True,True,0.00095016891891891897,0.30384290540540543,0.92071368243243246,0.99957770270270274,0.048036317567567564,4fc7175b24d018285074d425171814853be2b91a105ca2d154863f1c27a0404b
000,36,first_six_hour_burden_mean,0.00027394497177629309,9.171891583651305e-05,8.9358162402973564e-05,9.171891583651305e-05,0.025739002821920372,True,0.00012306735522522912,0.00042482258832735704,0.077561113011999902,0.1758450431439999,0.024570982533,-0.077287168040223606,0.077287168040223606,-3.1454651004054583,False,False,0.00042229729729729732,0,True,True,True,149.40602388603622,1311147.5242342351,True,True,0.00095016891891891897,0.30384290540540543,0.92071368243243246,0.99957770270270274,0.048036317567567564,4fc7175b24d018285074d425171814853be2b91a105ca2d154863f1c27a0404b
000,36,initial_gap_q4_q1_burden_contrast,-0.00016382859931329905,0.00031772386399595682,0.00031680870770704273,0.00031772386399595682,0.0028803511244145479,True,-0.00068648435558664803,0.00035882715696004992,0.45521164327499991,0.74291964327500004,0.071927000000000005,-0.45537547187431321,0.45537547187431321,-6.3310783415728888,False,False,0.00042229729729729732,0,True,True,True,149.40602388603622,1311147.5242342351,True,True,0.00095016891891891897,0.30384290540540543,0.92071368243243246,0.99957770270270274,0.048036317567567564,4fc7175b24d018285074d425171814853be2b91a105ca2d154863f1c27a0404b
000,36,maximum_downside_deviation_mean,5.6256659744256057e-05,3.8986068478542617e-06,3.8078867425449412e-06,3.8986068478542617e-06,0.023269877894779679,True,4.9843451479535795e-05,6.266986800897632e-05,0.0021472894676801998,0.0043219244962797001,0.00054365875714980003,-0.0020910328079359439,0.0020910328079359439,-3.846222985349208,False,False,0.00042229729729729732,0,True,True,True,149.40602388603622,1311147.5242342351,True,True,0.00095016891891891897,0.30384290540540543,0.92071368243243246,0.99957770270270274,0.048036317567567564,4fc7175b24d018285074d425171814853be2b91a105ca2d154863f1c27a0404b
000,36,recovery_completion_hours_mean,83.547825168918919,0.2413300194605984,0.22879897397944984,0.2413300194605984,0.051924934615084142,True,83.150837286906238,83.9448130509316,29.880602871860003,68.03831604714,9.5394282938200003,15.509509121778919,15.509509121778919,1.6258321404676379,False,False,0.00042229729729729732,0,True,True,True,149.40602388603622,1311147.5242342351,True,True,0.00095016891891891897,0.30384290540540543,0.92071368243243246,0.99957770270270274,0.048036317567567564,4fc7175b24d018285074d425171814853be2b91a105ca2d154863f1c27a0404b
