cell_order,cell_identifier,anchor,portfolio,shock,oracle_treatment,oracle_delay_steps,metric_order,metric,operationality,direction_multiplier,count,mean,standard_error,ci95_lower,ci95_upper,median,p05,p25,p75,p90,p95,positive_share
1,joint_crypto_high_correlation__empirical_crypto__oracle_delay_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_low,0,18,maximum_unresolved_tab_share,operational,1,128,0.016290283082769932,0.004093427601254891,0.008267164984310347,0.024313401181229516,0.00039864965206780193,0.0,0.0,0.006072356728634348,0.03653562434088509,0.11998554708029326,0.59375
1,joint_crypto_high_correlation__empirical_crypto__oracle_delay_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_low,0,19,terminal_unresolved_tab_share,degenerate,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,joint_crypto_high_correlation__empirical_crypto__oracle_delay_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_low,0,20,liquidation_completion_ratio,operational,-1,78,0.8491081397769603,0.03068389898945765,0.7889676977576233,0.9092485817962973,0.9940185201834588,0.15976325819103265,0.8380614993623472,1.0,1.0,1.0000000000000002,0.9615384615384616
1,joint_crypto_high_correlation__empirical_crypto__oracle_delay_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_low,0,21,peak_eligible_tab_share,operational,1,128,0.02126480569531604,0.004644307380740026,0.012161963229065589,0.030367648161566486,0.0005167937068316598,0.0,0.0,0.00858920655572468,0.05487874284880735,0.1506661257889246,0.609375
1,joint_crypto_high_correlation__empirical_crypto__oracle_delay_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_low,0,22,peak_new_eligible_tab_share,operational,1,128,0.019511966549272973,0.004288246274701417,0.011107003850858195,0.027916929247687752,0.0004978540167402471,0.0,0.0,0.008427297503643126,0.0531566379181172,0.1319867633184418,0.609375
1,joint_crypto_high_correlation__empirical_crypto__oracle_delay_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_low,0,23,peak_selected_attempts,operational,1,128,3.671875,0.4497524164442487,2.790360263769273,4.553389736230727,2.0,0.0,0.0,5.25,10.0,13.649999999999991,0.5859375
1,joint_crypto_high_correlation__empirical_crypto__oracle_delay_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_low,0,24,peak_successful_closures,operational,1,128,3.3125,0.40886311312661905,2.5111282982718266,4.113871701728173,1.0,0.0,0.0,5.0,9.299999999999997,12.299999999999983,0.5859375
1,joint_crypto_high_correlation__empirical_crypto__oracle_delay_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_low,0,25,hours_for_half_eligible_tab,operational,1,128,0.7421875,0.06100182099022959,0.62262393085915,0.86175106914085,1.0,0.0,0.0,1.0,2.0,2.0,0.609375
1,joint_crypto_high_correlation__empirical_crypto__oracle_delay_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_low,0,26,five_busiest_eligible_tab_share,operational,1,128,0.5971171258995926,0.04251440466915069,0.5137888927480573,0.680445359051128,0.9597419725639558,0.0,0.0,1.0,1.0,1.0,0.609375
1,joint_crypto_high_correlation__empirical_crypto__oracle_delay_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_low,0,27,capacity_binding_hours,degenerate,1,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
