cell_order,cell_identifier,anchor,portfolio,shock,oracle_treatment,oracle_delay_steps,family_order,family,metric_order,metric,count,mean,standard_error,ci95_lower,ci95_upper,median,p05,p25,p75,p90,p95,positive_share
1,joint_crypto_high_correlation__empirical_crypto__oracle_delay_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_low,0,1,ETH,20,liquidated_debt,128,56002.320226826065,12536.938360047594,31429.92104113278,80574.71941251935,1122.9237800876854,0.0,0.0,25820.863824348347,152867.44568999636,412900.3787416505,0.578125
1,joint_crypto_high_correlation__empirical_crypto__oracle_delay_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_low,0,1,ETH,21,terminal_unresolved_tab,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,joint_crypto_high_correlation__empirical_crypto__oracle_delay_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_low,0,1,ETH,22,backlog_area,128,143581.6620494901,38867.367217444604,67401.62230329869,219761.70179568155,2590.372261785029,0.0,0.0,41025.868476078875,270381.7860950105,902421.497814177,0.5859375
1,joint_crypto_high_correlation__empirical_crypto__oracle_delay_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_low,0,1,ETH,23,maximum_backlog,128,38243.69493655867,9878.992768208855,18880.869110869317,57606.52076224802,756.9440990047624,0.0,0.0,11775.235444446793,78785.20930681282,299963.8677007331,0.5859375
1,joint_crypto_high_correlation__empirical_crypto__oracle_delay_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_low,0,1,ETH,24,terminal_active_bad_debt,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,joint_crypto_high_correlation__empirical_crypto__oracle_delay_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_low,0,1,ETH,25,realised_bad_debt,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,joint_crypto_high_correlation__empirical_crypto__oracle_delay_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_low,0,1,ETH,26,keeper_profit_proxy,128,7122.039316607163,1611.699475694081,3963.108344246764,10280.970288967561,108.6889590701897,0.0,0.0,3018.8159034772757,19364.601076835104,53117.49456933216,0.578125
1,joint_crypto_high_correlation__empirical_crypto__oracle_delay_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_low,0,2,WBTC,1,initial_debt_exposure,128,379014.718300898,7.275957614183426e-12,379014.718300898,379014.718300898,379014.71830089804,379014.718300898,379014.71830089804,379014.7183008981,379014.7183008981,379014.7183008981,1.0
1,joint_crypto_high_correlation__empirical_crypto__oracle_delay_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_low,0,2,WBTC,2,absolute_mismatch_area,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,joint_crypto_high_correlation__empirical_crypto__oracle_delay_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_low,0,2,WBTC,3,peak_absolute_mismatch,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,joint_crypto_high_correlation__empirical_crypto__oracle_delay_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_low,0,2,WBTC,4,oracle_overvaluation_area,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,joint_crypto_high_correlation__empirical_crypto__oracle_delay_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_low,0,2,WBTC,5,peak_oracle_overvaluation,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,joint_crypto_high_correlation__empirical_crypto__oracle_delay_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_low,0,2,WBTC,6,oracle_undervaluation_area,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,joint_crypto_high_correlation__empirical_crypto__oracle_delay_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_low,0,2,WBTC,7,peak_oracle_undervaluation,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,joint_crypto_high_correlation__empirical_crypto__oracle_delay_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_low,0,2,WBTC,8,mismatch_hours,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,joint_crypto_high_correlation__empirical_crypto__oracle_delay_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_low,0,2,WBTC,9,mismatch_hours_above_tolerance,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,joint_crypto_high_correlation__empirical_crypto__oracle_delay_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_low,0,2,WBTC,10,false_safe_vault_hours,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,joint_crypto_high_correlation__empirical_crypto__oracle_delay_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_low,0,2,WBTC,11,false_safe_debt_hours,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,joint_crypto_high_correlation__empirical_crypto__oracle_delay_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_low,0,2,WBTC,12,peak_false_safe_debt,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,joint_crypto_high_correlation__empirical_crypto__oracle_delay_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_low,0,2,WBTC,13,false_unsafe_vault_hours,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,joint_crypto_high_correlation__empirical_crypto__oracle_delay_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_low,0,2,WBTC,14,false_unsafe_debt_hours,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,joint_crypto_high_correlation__empirical_crypto__oracle_delay_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_low,0,2,WBTC,15,peak_false_unsafe_debt,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,joint_crypto_high_correlation__empirical_crypto__oracle_delay_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_low,0,2,WBTC,16,eligible_liquidation_tab,128,7391.31357669036,2199.6133499342573,3080.071410819216,11702.555742561504,0.0,0.0,0.0,2258.8776441873297,14406.501141042992,36574.626271681926,0.3515625
1,joint_crypto_high_correlation__empirical_crypto__oracle_delay_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_low,0,2,WBTC,17,selected_count,128,0.9609375,0.17656859703081718,0.6148630498195984,1.3070119501804016,0.0,0.0,0.0,1.0,3.0,4.6499999999999915,0.328125
1,joint_crypto_high_correlation__empirical_crypto__oracle_delay_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_low,0,2,WBTC,18,rejected_count,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,joint_crypto_high_correlation__empirical_crypto__oracle_delay_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_low,0,2,WBTC,19,successful_closure_count,128,0.9296875,0.173327069014336,0.5899664447319015,1.2694085552680985,0.0,0.0,0.0,1.0,3.0,4.0,0.3203125
1,joint_crypto_high_correlation__empirical_crypto__oracle_delay_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_low,0,2,WBTC,20,liquidated_debt,128,7080.392500574629,2130.9559826556815,2903.718774569493,11257.066226579765,0.0,0.0,0.0,1672.5545494047294,13781.772888267398,36574.626271681926,0.3203125
1,joint_crypto_high_correlation__empirical_crypto__oracle_delay_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_low,0,2,WBTC,21,terminal_unresolved_tab,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,joint_crypto_high_correlation__empirical_crypto__oracle_delay_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_low,0,2,WBTC,22,backlog_area,128,21332.705690349587,7111.245516854468,7394.664477314829,35270.746903384344,0.0,0.0,0.0,2588.219518085015,35368.405829750525,75329.48129548995,0.3046875
1,joint_crypto_high_correlation__empirical_crypto__oracle_delay_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_low,0,2,WBTC,23,maximum_backlog,128,4156.898899046082,1355.0572338736101,1500.986720653806,6812.811077438359,0.0,0.0,0.0,844.8499583773489,6074.096678780863,21814.179230636648,0.3046875
1,joint_crypto_high_correlation__empirical_crypto__oracle_delay_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_low,0,2,WBTC,24,terminal_active_bad_debt,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,joint_crypto_high_correlation__empirical_crypto__oracle_delay_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_low,0,2,WBTC,25,realised_bad_debt,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,joint_crypto_high_correlation__empirical_crypto__oracle_delay_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_low,0,2,WBTC,26,keeper_profit_proxy,128,894.6914201289283,272.94484987709745,359.71951436981726,1429.6633258880393,0.0,0.0,0.0,189.80007843199354,1761.0860026450248,4648.326686184199,0.3203125
1,joint_crypto_high_correlation__empirical_crypto__oracle_delay_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_low,0,3,STABLE,1,initial_debt_exposure,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,joint_crypto_high_correlation__empirical_crypto__oracle_delay_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_low,0,3,STABLE,2,absolute_mismatch_area,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,joint_crypto_high_correlation__empirical_crypto__oracle_delay_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_low,0,3,STABLE,3,peak_absolute_mismatch,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,joint_crypto_high_correlation__empirical_crypto__oracle_delay_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_low,0,3,STABLE,4,oracle_overvaluation_area,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,joint_crypto_high_correlation__empirical_crypto__oracle_delay_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_low,0,3,STABLE,5,peak_oracle_overvaluation,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,joint_crypto_high_correlation__empirical_crypto__oracle_delay_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_low,0,3,STABLE,6,oracle_undervaluation_area,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,joint_crypto_high_correlation__empirical_crypto__oracle_delay_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_low,0,3,STABLE,7,peak_oracle_undervaluation,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,joint_crypto_high_correlation__empirical_crypto__oracle_delay_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,oracle_delay_low,0,3,STABLE,8,mismatch_hours,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
