pool_row_id,source_pool_row_id,source_row,timestamp_utc,calibration_pool_label,regime_label,is_calibration,return_observation_valid,calibration_segment_id,eth_price_usd,wbtc_price_usd,usdc_price_usd,eth_log_return,wbtc_log_return,usdc_log_return,eth_24h_log_return,wbtc_24h_log_return,usdc_24h_log_return,median_effective_gas_price_gwei,p90_effective_gas_price_gwei,p99_effective_gas_price_gwei,target_normalised_block_utilisation
0,0,0,2021-06-01T00:00:00Z,all_calibration,normal,True,False,0,2720.79166667,37641.53,0.999682583333,,,,,,,28.3629647559,40.3170819478,119.053497116,0.993026447048
1,1,1,2021-06-01T01:00:00Z,all_calibration,normal,True,True,0,2698.2775,37546.155,0.999986833333,-0.00830928541914,-0.00253698597463,0.000304300300652,,,,24.9342022811,36.2561465105,119.518753815,0.983995124032
2,2,2,2021-06-01T02:00:00Z,all_calibration,stress,True,True,0,2644.3125,36945.9641667,1.0001425,-0.0202024993239,-0.016114558911,0.000155656601187,,,,23.5320315364,38.7669662053,120.159162952,0.986105951285
3,3,3,2021-06-01T03:00:00Z,all_calibration,normal,True,True,0,2648.17083333,36857.6691667,1.000003,0.00145804295408,-0.00239270177189,-0.000139489852339,,,,22.936825768,36.8146456589,100.766458677,0.993901015397
4,4,4,2021-06-01T04:00:00Z,all_calibration,normal,True,True,0,2643.07916667,36796.4858333,1.00030625,-0.00192456158309,-0.00166136852446,0.000303203119541,,,,19.9078780183,30.0941937084,79.6866033177,0.9928929627
5,5,5,2021-06-01T05:00:00Z,all_calibration,normal,True,True,0,2669.76083333,37051.0725,1.00033133333,0.01004430436,0.00689495173589,2.50753395251e-05,,,,18.2787509759,29.8485907022,98.2787773607,0.99360055679
6,6,6,2021-06-01T06:00:00Z,all_calibration,normal,True,True,0,2673.76916667,37119.4183333,1.00022025,0.00150025697812,0.00184293920425,-0.000111052706036,,,,19.3815542999,32.278102007,91.9231184347,0.993305422726
7,7,7,2021-06-01T07:00:00Z,all_calibration,normal,True,True,0,2654.31166667,36904.5566667,1.00041933333,-0.00730378802641,-0.00580520757166,0.000199019689152,,,,19.6865059889,34.877424247,120.07396469,0.990170423811
8,8,8,2021-06-01T08:00:00Z,all_calibration,stress,True,True,0,2603.85833333,36357.4783333,1.00061866667,-0.0191910424366,-0.0149351161885,0.000199229933657,,,,21.6927602643,35.1852524884,102.623551864,0.98254073001
9,9,9,2021-06-01T09:00:00Z,all_calibration,normal,True,True,0,2580.5925,36235.07,1.00083266667,-0.00897529565405,-0.00337247974241,0.000213844820757,,,,19.7377001669,31.8982618454,80.0041375602,0.982248588372
10,10,10,2021-06-01T10:00:00Z,all_calibration,normal,True,True,0,2595.38416667,36390.4991667,1.00060525,0.00571552303501,0.00428029427516,-0.000227253282005,,,,19.0088413779,31.6639307067,75.5774872916,0.990534478452
11,11,11,2021-06-01T11:00:00Z,all_calibration,normal,True,True,0,2617.32833333,36574.6041667,1.00038858333,0.00841953063743,0.0050463956684,-0.00021655905571,,,,20.0538706759,29.6550189722,76.4276010857,0.986217801756
12,12,12,2021-06-01T12:00:00Z,all_calibration,normal,True,True,0,2595.35833333,36379.0125,1.00080016667,-0.00842948425518,-0.00536209565042,0.000411338849608,,,,18.8468702423,27.4564788941,88.4742213635,0.997518701947
13,13,13,2021-06-01T13:00:00Z,all_calibration,normal,True,True,0,2589.89916667,36473.2266667,1.00062916667,-0.00210564998314,0.00258644676585,-0.000170877879692,,,,24.2952269632,38.9970703065,115.555870387,0.987007183702
14,14,14,2021-06-01T14:00:00Z,all_calibration,normal,True,True,0,2623.97333333,36942.8291667,1.00070433333,0.0130707652639,0.0127930845471,7.51165827203e-05,,,,29.3052764557,45.7288890348,120.224144806,0.990219072543
15,15,15,2021-06-01T15:00:00Z,all_calibration,stress,True,True,0,2576.36583333,36360.2091667,1.00077858333,-0.0183098942242,-0.015896538048,7.41949875426e-05,,,,30.2301675311,42.6635681244,121.269768896,0.992986912083
16,16,16,2021-06-01T16:00:00Z,all_calibration,normal,True,True,0,2572.15833333,36245.4616667,1.00101691667,-0.00163444932974,-0.00316084389054,0.000238119562622,,,,36.1640700722,57.0726121391,229.870192069,0.988993038607
17,17,17,2021-06-01T17:00:00Z,all_calibration,normal,True,True,0,2553.245,36016.3866667,1.00088833333,-0.0073802656889,-0.00634015798484,-0.00012846095839,,,,35.8783230816,48.1218225809,115.559556823,0.974300687364
18,18,18,2021-06-01T18:00:00Z,all_calibration,normal,True,True,0,2575.37,36299.8058333,1.00079741667,0.00862811392807,0.00783837223657,-9.08400998801e-05,,,,38.9621858925,51.3440991809,133.513059375,0.988152739932
19,19,19,2021-06-01T19:00:00Z,all_calibration,normal,True,True,0,2562.09083333,36076.2175,1.0009125,-0.00516955619536,-0.00617853908832,0.000114985026054,,,,36.8840573103,48.6915429713,134.814902659,0.974813334011
20,20,20,2021-06-01T20:00:00Z,all_calibration,normal,True,True,0,2566.48333333,36148.8533333,1.00086783333,0.00171295215056,0.00201137519101,-4.46269412588e-05,,,,44.4789541951,57.8739976562,114.918967117,0.975755915457
21,21,21,2021-06-01T21:00:00Z,all_calibration,normal,True,True,0,2584.345,36337.0225,1.000591,0.00693548187109,0.00519189668858,-0.000276631555432,,,,35.8738885732,53.5008929727,102.886581014,0.973288111967
22,22,22,2021-06-01T22:00:00Z,all_calibration,normal,True,True,0,2597.17833333,36426.0158333,1.00058783333,0.00495350835998,0.00244611494368,-3.16480128027e-06,,,,26.9059285701,42.2707557001,124.231221524,0.988786818212
23,23,23,2021-06-01T23:00:00Z,all_calibration,normal,True,True,0,2610.6875,36647.995,1.000689,0.00518799730995,0.00607548010388,0.000101102121474,,,,23.1853950982,32.0877636147,104.456328158,0.986519898157
24,24,24,2021-06-02T00:00:00Z,all_calibration,normal,True,True,0,2614.83083333,36529.7858333,1.00068308333,0.00158580792845,-0.00323074212253,-5.91261036911e-06,-0.0397234873431,-0.0299799841088,0.0010003171921,29.524887394,43.9712486036,159.406541362,0.981997937488
25,25,25,2021-06-02T01:00:00Z,all_calibration,stress,True,True,0,2575.44333333,36176.7933333,1.00086791667,-0.0151777169572,-0.00971013290908,0.000184690106681,-0.0465919188811,-0.0371531310433,0.000880706998131,26.7943538491,40.5227593442,120.417000381,0.989498704366
26,26,26,2021-06-02T02:00:00Z,all_calibration,normal,True,True,0,2601.46666667,36440.1825,1.00091891667,0.0100537009643,0.00725423549221,5.09544764326e-05,-0.0163357185929,-0.0137843366401,0.000776004873376,23.4601904227,34.9166742175,90.7920256533,0.989538560578
27,27,27,2021-06-02T03:00:00Z,all_calibration,stress,True,True,0,2619.5225,36553.6058333,1.00066475,0.00691666070921,0.00310775552856,-0.000253965569629,-0.0108771008378,-0.00828387933963,0.000661529156086,23.6677267863,33.6699081001,76.7981637706,0.990491266374
28,28,28,2021-06-02T04:00:00Z,all_calibration,stress,True,True,0,2630.10083333,36671.2016667,1.00085641667,0.00403013587048,0.00321191515404,0.000191520999572,-0.00492240338422,-0.00341059566113,0.000549847036117,20.1321961082,29.2461361981,74.3757134566,0.990814899989
29,29,29,2021-06-02T05:00:00Z,all_calibration,normal,True,True,0,2623.54916667,36690.0216667,1.00069633333,-0.00249414028838,0.00051307760579,-0.000159959145393,-0.0174608480326,-0.00979246979124,0.000364812551199,21.4553672373,33.1533414569,91.0310557601,0.989293299922
30,30,30,2021-06-02T06:00:00Z,all_calibration,normal,True,True,0,2640.8375,36847.7541667,1.00092966667,0.00656805686156,0.00428984260416,0.00023314378849,-0.0123930481492,-0.00734556639132,0.000709009045725,21.255545407,31.4347591034,72.3306875264,0.997442916181
31,31,31,2021-06-02T07:00:00Z,all_calibration,stress,True,True,0,2668.56666667,37177.6025,1.000742,0.0104453976057,0.00891182511634,-0.000187509940158,0.00535613748295,0.00737146629667,0.000322479416415,24.1968925171,46.2573980235,96.4406707748,0.974099910837
32,32,32,2021-06-02T08:00:00Z,all_calibration,normal,True,True,0,2690.63666667,37265.8691667,1.000793,0.00823634536381,0.00237137538199,5.09608875299e-05,0.0327835252833,0.0246779578671,0.000174210370288,21.0624652463,39.2335643442,78.6059691927,0.987717189431
33,33,33,2021-06-02T09:00:00Z,all_calibration,normal,True,True,0,2702.75,37388.0125,1.00105983333,0.00449192852283,0.00327225964935,0.000266586364862,0.0462507494602,0.0313226972589,0.000226951914393,18.9291244678,30.4493061,83.796782469,0.991170832096
34,34,34,2021-06-02T10:00:00Z,all_calibration,normal,True,True,0,2689.6675,37263.125,1.00116841667,-0.0048521931648,-0.00334589989362,0.000108462492665,0.0356830332604,0.0236965030901,0.000562667689062,19.0781775892,33.7458767408,86.0035278893,0.983099370123
35,35,35,2021-06-02T11:00:00Z,all_calibration,normal,True,True,0,2687.60416667,37208.9,1.001284,-0.000767427633381,-0.00145625178267,0.000115441777791,0.0264960749896,0.0171938556391,0.000894668522563,20.0431093593,32.0503898752,95.1089221881,0.986835038727
36,36,36,2021-06-02T12:00:00Z,all_calibration,normal,True,True,0,2708.195,37386.5675,1.00145216667,0.00763220892758,0.00476350217803,0.000167936915367,0.0425577681724,0.0273194534675,0.000651266588322,25.4756420461,42.9555205736,100.656426918,0.971622272464
37,37,37,2021-06-02T13:00:00Z,all_calibration,normal,True,True,0,2720.93166667,37495.5683333,1.00143816667,0.00469198484944,0.00291126606116,-1.3979796864e-05,0.0493554030049,0.0276442727628,0.00080816467115,32.2484754997,50.2626993909,110.693194431,0.98649947228
38,38,38,2021-06-02T14:00:00Z,all_calibration,normal,True,True,0,2751.86916667,37807.2066667,1.0017885,0.0113060315892,0.00827698879593,0.000349769042849,0.0475906693302,0.0231281770116,0.00108281713128,39.1568615862,58.4793703394,130.063204981,0.985540268717
39,39,39,2021-06-02T15:00:00Z,all_calibration,normal,True,True,0,2788.91083333,38112.3808333,1.00160291667,0.0133707595376,0.0080394485903,-0.000185269171387,0.0792713230921,0.0470641636499,0.000823352972349,42.8399396488,57.0310050042,123.975879867,0.9801069022
40,40,40,2021-06-02T16:00:00Z,all_calibration,normal,True,True,0,2790.3375,38078.5108333,1.00175625,0.000511418962744,-0.000889082710287,0.00015307622935,0.0814171913846,0.0493359248302,0.000738309639077,39.6298220802,52.7775339566,133.275997819,0.990952111361
41,41,41,2021-06-02T17:00:00Z,all_calibration,normal,True,True,0,2770.7875,37935.3308333,1.00158366667,-0.00703098043553,-0.00376721308103,-0.000172295607275,0.081766476638,0.051908869734,0.000694474990191,42.7173331787,63.6328336869,216.347869237,0.973349205531
42,42,42,2021-06-02T18:00:00Z,all_calibration,normal,True,True,0,2771.575,38034.2425,1.00186483333,0.000284174846125,0.00260398257402,0.000280682701365,0.073422537556,0.0466744800715,0.00106599779144,46.1968525981,66.6027638955,197.38539622,0.984427458031
43,43,43,2021-06-02T19:00:00Z,all_calibration,normal,True,True,0,2773.69333333,38002.5058333,1.00179833333,0.000764014763232,-0.000834771849277,-6.6378422412e-05,0.0793561085146,0.0520182473105,0.00088463434297,32.4417786512,49.1395652778,115.305598153,0.986442612633
44,44,44,2021-06-02T20:00:00Z,all_calibration,stress,True,True,0,2748.285,37812.075,1.00190291667,-0.00920268466023,-0.00502360447623,0.000104390146414,0.0684404717038,0.0449832676433,0.00103365143064,25.0224612112,36.4140628686,116.188158801,0.990268099501
45,45,45,2021-06-02T21:00:00Z,all_calibration,normal,True,True,0,2736.81916667,37854.7933333,1.00168116667,-0.00418072280319,0.00112911605337,-0.000221353326522,0.0573242670296,0.0409204870081,0.00108892965955,29.7689274396,44.166722905,92.0004159615,0.985126858203
46,46,46,2021-06-02T22:00:00Z,all_calibration,normal,True,True,0,2716.2475,37712.5416667,1.00158333333,-0.00754502576809,-0.00376490277698,-9.76739051791e-05,0.0448257329015,0.0347094692874,0.000994420555654,29.7091967726,38.6754290765,105.061966812,0.978098792679
47,47,47,2021-06-02T23:00:00Z,all_calibration,normal,True,True,0,2711.47666667,37720.1641667,1.00155341667,-0.00175795026257,0.000202100665533,-2.98698195912e-05,0.037879785329,0.0288360898491,0.000863448614589,29.9376679079,43.3543851619,110.931134008,0.976711226375
48,48,48,2021-06-03T00:00:00Z,all_calibration,normal,True,True,0,2706.83166667,37556.5816667,1.00146175,-0.00171455770036,-0.00434616974164,-9.15286796182e-05,0.0345794197002,0.0277206622299,0.00077783254534,22.2084717917,35.130811115,97.6104864257,0.987242391524
49,49,49,2021-06-03T01:00:00Z,all_calibration,normal,True,True,0,2709.3775,37531.705,1.00154791667,0.000940079469785,-0.000662597821341,8.60371950808e-05,0.0506972161271,0.0367681973177,0.00067917963374,25.1866254048,36.2990901916,84.0744277856,0.985567569399
