pool_row_id,source_row,timestamp_utc,calibration_pool_label,regime_label,is_calibration,is_withheld_ftx,return_observation_valid,eth_price_usd,wbtc_price_usd,eth_log_return,wbtc_log_return,median_effective_gas_price_gwei,p90_effective_gas_price_gwei,p99_effective_gas_price_gwei,target_normalised_block_utilisation
0,0,2021-06-01T00:00:00Z,all_calibration,normal,True,False,False,2720.7916666666665,37641.52999999999,,,28.36296475589079,40.31708194784765,119.05349711609291,0.9930264470478264
1,1,2021-06-01T01:00:00Z,all_calibration,normal,True,False,True,2698.2775000000006,37546.15500000001,-0.0083092854191395,-0.0025369859746344,24.934202281108867,36.25614651050463,119.51875381507092,0.9839951240317236
2,2,2021-06-01T02:00:00Z,all_calibration,stress,True,False,True,2644.312500000002,36945.96416666666,-0.0202024993239264,-0.0161145589109725,23.532031536431937,38.766966205328366,120.15916295201094,0.986105951284782
3,3,2021-06-01T03:00:00Z,all_calibration,normal,True,False,True,2648.170833333334,36857.66916666668,0.0014580429540753,-0.0023927017718872,22.936825767967942,36.814645658893006,100.76645867661342,0.9939010153973376
4,4,2021-06-01T04:00:00Z,all_calibration,normal,True,False,True,2643.079166666668,36796.48583333333,-0.0019245615830918,-0.0016613685244575,19.90787801831228,30.094193708416316,79.68660331766405,0.9928929626995968
5,5,2021-06-01T05:00:00Z,all_calibration,normal,True,False,True,2669.7608333333337,37051.072499999995,0.0100443043600284,0.0068949517358944,18.278750975929384,29.84859070221037,98.27877736069456,0.9936005567901016
6,6,2021-06-01T06:00:00Z,all_calibration,normal,True,False,True,2673.7691666666656,37119.418333333335,0.0015002569781215,0.0018429392042502,19.38155429994157,32.278102007043586,91.92311843466324,0.9933054227261466
7,7,2021-06-01T07:00:00Z,all_calibration,normal,True,False,True,2654.311666666666,36904.55666666667,-0.007303788026415,-0.0058052075716616,19.686505988893032,34.87742424701086,120.07396469007256,0.9901704238114182
8,8,2021-06-01T08:00:00Z,all_calibration,stress,True,False,True,2603.858333333333,36357.47833333334,-0.0191910424365735,-0.014935116188484,21.692760264303605,35.1852524884113,102.62355186388244,0.982540730009734
9,9,2021-06-01T09:00:00Z,all_calibration,normal,True,False,True,2580.5924999999997,36235.06999999999,-0.0089752956540518,-0.0033724797424135,19.737700166897735,31.89826184543002,80.00413756021976,0.982248588372322
10,10,2021-06-01T10:00:00Z,all_calibration,normal,True,False,True,2595.384166666667,36390.49916666667,0.0057155230350121,0.0042802942751567,19.008841377883737,31.663930706734888,75.57748729156307,0.9905344784515632
11,11,2021-06-01T11:00:00Z,all_calibration,normal,True,False,True,2617.3283333333325,36574.60416666667,0.0084195306374281,0.0050463956684048,20.053870675871636,29.655018972241393,76.42760108572315,0.986217801755544
12,12,2021-06-01T12:00:00Z,all_calibration,normal,True,False,True,2595.358333333333,36379.0125,-0.008429484255175,-0.0053620956504154,18.846870242285576,27.45647889412272,88.47422136348197,0.9975187019468784
13,13,2021-06-01T13:00:00Z,all_calibration,normal,True,False,True,2589.8991666666666,36473.22666666668,-0.0021056499831377,0.00258644676585,24.295226963155244,38.99707030650605,115.55587038672704,0.9870071837020886
14,14,2021-06-01T14:00:00Z,all_calibration,normal,True,False,True,2623.973333333334,36942.829166666656,0.0130707652639241,0.0127930845471162,29.305276455734287,45.72888903484718,120.22414480617596,0.990219072542809
15,15,2021-06-01T15:00:00Z,all_calibration,stress,True,False,True,2576.3658333333337,36360.20916666666,-0.0183098942242443,-0.0158965380480218,30.230167531124188,42.66356812435148,121.26976889559826,0.9929869120826676
