arrival_pool_row_id,relative_hour,timestamp_utc,source_window,empirical_regime_label,liquidatable_vault_count,liquidatable_share,bark_count,grab_count,activity_indicator,positive_count_eligible,sequence_id
63,62,2022-05-07T14:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
64,63,2022-05-07T15:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
65,64,2022-05-07T16:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
66,65,2022-05-07T17:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
67,66,2022-05-07T18:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
68,67,2022-05-07T19:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
69,68,2022-05-07T20:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
70,69,2022-05-07T21:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
71,70,2022-05-07T22:00:00+0000,terra_cefi,terra_cefi,5,0.001071581654522,0,0,0,0,
72,71,2022-05-07T23:00:00+0000,terra_cefi,terra_cefi,3,0.0006430868167202,0,0,0,0,
73,72,2022-05-08T00:00:00+0000,terra_cefi,terra_cefi,3,0.0006429489927132,3,3,1,1,
74,73,2022-05-08T01:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
75,74,2022-05-08T02:00:00+0000,terra_cefi,terra_cefi,3,0.0006433626420759,0,0,0,0,
76,75,2022-05-08T03:00:00+0000,terra_cefi,terra_cefi,6,0.0012867252841518,0,0,0,0,
77,76,2022-05-08T04:00:00+0000,terra_cefi,terra_cefi,3,0.0006436387041407,4,4,1,1,
78,77,2022-05-08T05:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
79,78,2022-05-08T06:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
80,79,2022-05-08T07:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
81,80,2022-05-08T08:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
82,81,2022-05-08T09:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
83,82,2022-05-08T10:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
84,83,2022-05-08T11:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
85,84,2022-05-08T12:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
86,85,2022-05-08T13:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
87,86,2022-05-08T14:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
88,87,2022-05-08T15:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
89,88,2022-05-08T16:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
90,89,2022-05-08T17:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
91,90,2022-05-08T18:00:00+0000,terra_cefi,terra_cefi,0,0.0,0,0,0,0,
92,91,2022-05-08T19:00:00+0000,terra_cefi,terra_cefi,0,0.0,1,1,1,1,
