cell_identifier,recovery_path,confidence_scenario,metric,replication_count,mean,standard_error,ci_lower,ci_upper,median,q25,q75,q05,q95,censoring_share,numerical_valid_count
persistent_trough__stage1_only,persistent_trough,stage1_only,keeper_profit_dai,128,54563.53816768524,129.9635188751455,54308.80967068996,54818.26666468052,54623.933415171974,53626.73465242867,55461.53706407916,52091.68998128761,57300.17059592907,0.0,128
persistent_trough__stage1_only,persistent_trough,stage1_only,minimum_confidence,128,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,128
persistent_trough__stage1_only,persistent_trough,stage1_only,mean_confidence_loss,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128
persistent_trough__stage1_only,persistent_trough,stage1_only,hours_at_confidence_floor,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128
persistent_trough__stage1_only,persistent_trough,stage1_only,hours_recovery_gate_closed,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128
persistent_trough__stage1_only,persistent_trough,stage1_only,first_recovery_gate_open,128,720.0,0.0,720.0,720.0,720.0,720.0,720.0,720.0,720.0,0.0,128
persistent_trough__stage1_only,persistent_trough,stage1_only,recovery_gate_reopenings,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128
persistent_trough__stage1_only,persistent_trough,stage1_only,cumulative_panic_contribution,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128
persistent_trough__stage1_only,persistent_trough,stage1_only,maximum_panic_contribution,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128
persistent_trough__stage1_only,persistent_trough,stage1_only,confidence_at_horizon,128,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,128
persistent_trough__confidence_resilient,persistent_trough,confidence_resilient,below_peg_burden,128,132.1547139105362,11.282377827724753,110.04125336819568,154.2681744528767,114.82745738799252,0.36278690180280176,270.77127208229024,0.22552167610041898,286.100259555696,0.0,128
persistent_trough__confidence_resilient,persistent_trough,confidence_resilient,restricted_mean_recovery_time,128,463.9296875,29.870686242595127,405.3831424645135,522.4762325354865,720.0,0.0,720.0,0.0,720.0,0.625,128
persistent_trough__confidence_resilient,persistent_trough,confidence_resilient,recovery_probability_168h,128,0.3359375,0.04191137031126649,0.2537912141899177,0.4180837858100823,0.0,0.0,1.0,0.0,1.0,0.0,128
persistent_trough__confidence_resilient,persistent_trough,confidence_resilient,recovery_probability_720h,128,0.375,0.042958962288966916,0.29080043391362487,0.45919956608637513,0.0,0.0,1.0,0.0,1.0,0.0,128
persistent_trough__confidence_resilient,persistent_trough,confidence_resilient,maximum_unresolved_tab_dai,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128
persistent_trough__confidence_resilient,persistent_trough,confidence_resilient,cumulative_realised_bad_debt_dai,128,8.246528460098546e-13,5.574898038659731e-14,7.153848444521239e-13,9.339208475675853e-13,5.062616992290714e-13,5.062616992290714e-13,1.0125233984581428e-12,0.0,2.0250467969162855e-12,0.0,128
persistent_trough__confidence_resilient,persistent_trough,confidence_resilient,recovery_probability_48h,128,0.3203125,0.04140375447464223,0.23916114122970122,0.4014638587702988,0.0,0.0,1.0,0.0,1.0,0.0,128
