pool_row_id,source_window,regime_label,state_label,timestamp_utc,ilk,collateral_family,debt_dai,collateral_ratio,liquidation_ratio,absolute_buffer,relative_buffer
tranche_b_pool_000029,usdc_svb_2023-03-06_2023-03-20,moderate_stress,opening,2023-03-06T00:00:00+00:00,ETH-A,ETH,21.28977684917795,14.718762384715472,1.45,13.268762384715473,9.150870610148601
tranche_b_pool_000030,usdc_svb_2023-03-06_2023-03-20,moderate_stress,opening,2023-03-06T00:00:00+00:00,ETH-A,ETH,21.28977684917795,14.718762384715472,1.45,13.268762384715473,9.150870610148601
tranche_b_pool_000031,usdc_svb_2023-03-06_2023-03-20,moderate_stress,opening,2023-03-06T00:00:00+00:00,ETH-A,ETH,21.28977684917795,14.718762384715472,1.45,13.268762384715473,9.150870610148601
tranche_b_pool_000032,usdc_svb_2023-03-06_2023-03-20,moderate_stress,opening,2023-03-06T00:00:00+00:00,ETH-A,ETH,21.28977684917795,14.718762384715472,1.45,13.268762384715473,9.150870610148601
tranche_b_pool_000033,usdc_svb_2023-03-06_2023-03-20,moderate_stress,opening,2023-03-06T00:00:00+00:00,ETH-A,ETH,21.28977684917795,14.718762384715472,1.45,13.268762384715473,9.150870610148601
tranche_b_pool_000034,usdc_svb_2023-03-06_2023-03-20,moderate_stress,opening,2023-03-06T00:00:00+00:00,ETH-A,ETH,21.28977684917795,16.558607682804908,1.45,15.108607682804909,10.419729436417178
tranche_b_pool_000035,usdc_svb_2023-03-06_2023-03-20,moderate_stress,opening,2023-03-06T00:00:00+00:00,ETH-A,ETH,21.28977684917795,18.39845298089434,1.45,16.94845298089434,11.688588262685753
tranche_b_pool_000036,usdc_svb_2023-03-06_2023-03-20,moderate_stress,opening,2023-03-06T00:00:00+00:00,ETH-A,ETH,21.28977684917795,19.134391100130113,1.45,17.684391100130114,12.196131793193182
tranche_b_pool_000037,usdc_svb_2023-03-06_2023-03-20,moderate_stress,opening,2023-03-06T00:00:00+00:00,ETH-A,ETH,21.28977684917795,22.07814357707321,1.45,20.62814357707321,14.226305915222904
tranche_b_pool_000038,usdc_svb_2023-03-06_2023-03-20,moderate_stress,opening,2023-03-06T00:00:00+00:00,ETH-A,ETH,21.28977684917795,22.07814357707321,1.45,20.62814357707321,14.226305915222904
tranche_b_pool_000039,usdc_svb_2023-03-06_2023-03-20,moderate_stress,opening,2023-03-06T00:00:00+00:00,ETH-A,ETH,21.28977684917795,25.757834173252075,1.45,24.307834173252076,16.764023567760052
tranche_b_pool_000040,usdc_svb_2023-03-06_2023-03-20,moderate_stress,opening,2023-03-06T00:00:00+00:00,ETH-A,ETH,21.28977684917795,30.909401007902492,1.45,29.459401007902493,20.316828281312063
tranche_b_pool_000041,usdc_svb_2023-03-06_2023-03-20,moderate_stress,opening,2023-03-06T00:00:00+00:00,ETH-A,ETH,21.28977684917795,36.79690596178868,1.45,35.34690596178868,24.377176525371507
tranche_b_pool_000042,usdc_svb_2023-03-06_2023-03-20,moderate_stress,opening,2023-03-06T00:00:00+00:00,ETH-A,ETH,21.290070374980168,10.30299162018956,1.45,8.852991620189561,6.105511462199697
tranche_b_pool_000043,usdc_svb_2023-03-06_2023-03-20,moderate_stress,opening,2023-03-06T00:00:00+00:00,ETH-A,ETH,21.290109150093,14.718532650890516,1.45,13.268532650890517,9.150712173027943
tranche_b_pool_000044,usdc_svb_2023-03-06_2023-03-20,moderate_stress,opening,2023-03-06T00:00:00+00:00,ETH-A,ETH,21.29047758377164,14.718277945325204,1.45,13.268277945325204,9.150536514017382
tranche_b_pool_000045,usdc_svb_2023-03-06_2023-03-20,moderate_stress,opening,2023-03-06T00:00:00+00:00,ETH-A,ETH,21.2905875901934,13.246381707656674,1.45,11.796381707656675,8.13543566045288
tranche_b_pool_000046,usdc_svb_2023-03-06_2023-03-20,moderate_stress,opening,2023-03-06T00:00:00+00:00,ETH-A,ETH,21.29066896554197,10.302701949932976,1.45,8.852701949932976,6.105311689608949
tranche_b_pool_000047,usdc_svb_2023-03-06_2023-03-20,moderate_stress,opening,2023-03-06T00:00:00+00:00,ETH-A,ETH,21.29066896554197,10.302701949932976,1.45,8.852701949932976,6.105311689608949
tranche_b_pool_000048,usdc_svb_2023-03-06_2023-03-20,moderate_stress,opening,2023-03-06T00:00:00+00:00,ETH-A,ETH,21.29066896554197,11.038609232071044,1.45,9.588609232071045,6.612833953152444
tranche_b_pool_000049,usdc_svb_2023-03-06_2023-03-20,moderate_stress,opening,2023-03-06T00:00:00+00:00,ETH-A,ETH,21.29066896554197,11.038609232071044,1.45,9.588609232071045,6.612833953152444
tranche_b_pool_000050,usdc_svb_2023-03-06_2023-03-20,moderate_stress,opening,2023-03-06T00:00:00+00:00,ETH-A,ETH,21.29066896554197,11.038609232071044,1.45,9.588609232071045,6.612833953152444
tranche_b_pool_000051,usdc_svb_2023-03-06_2023-03-20,moderate_stress,opening,2023-03-06T00:00:00+00:00,ETH-A,ETH,21.29066896554197,11.774516514209116,1.45,10.324516514209117,7.120356216695942
tranche_b_pool_000052,usdc_svb_2023-03-06_2023-03-20,moderate_stress,opening,2023-03-06T00:00:00+00:00,ETH-A,ETH,21.29066896554197,12.510423796347183,1.45,11.060423796347184,7.627878480239437
tranche_b_pool_000053,usdc_svb_2023-03-06_2023-03-20,moderate_stress,opening,2023-03-06T00:00:00+00:00,ETH-A,ETH,21.29066896554197,12.510423796347183,1.45,11.060423796347184,7.627878480239437
tranche_b_pool_000054,usdc_svb_2023-03-06_2023-03-20,moderate_stress,opening,2023-03-06T00:00:00+00:00,ETH-A,ETH,21.29066896554197,12.510423796347183,1.45,11.060423796347184,7.627878480239437
tranche_b_pool_000055,usdc_svb_2023-03-06_2023-03-20,moderate_stress,opening,2023-03-06T00:00:00+00:00,ETH-A,ETH,21.29066896554197,13.246331078485253,1.45,11.796331078485254,8.135400743782935
tranche_b_pool_000056,usdc_svb_2023-03-06_2023-03-20,moderate_stress,opening,2023-03-06T00:00:00+00:00,ETH-A,ETH,21.29066896554197,13.982238360623324,1.45,12.532238360623325,8.64292300732643
tranche_b_pool_000057,usdc_svb_2023-03-06_2023-03-20,moderate_stress,opening,2023-03-06T00:00:00+00:00,ETH-A,ETH,21.29066896554197,13.982238360623324,1.45,12.532238360623325,8.64292300732643
tranche_b_pool_000058,usdc_svb_2023-03-06_2023-03-20,moderate_stress,opening,2023-03-06T00:00:00+00:00,ETH-A,ETH,21.29066896554197,14.718145642761392,1.45,13.268145642761393,9.150445270869927
tranche_b_pool_000059,usdc_svb_2023-03-06_2023-03-20,moderate_stress,opening,2023-03-06T00:00:00+00:00,ETH-A,ETH,21.29066896554197,14.718145642761392,1.45,13.268145642761393,9.150445270869927
