cell_order,cell_identifier,anchor,portfolio,shock,capacity,family_order,family,metric_order,metric,count,mean,standard_error,ci95_lower,ci95_upper,median,p05,p25,p75,p90,p95,positive_share
1,joint_crypto_high_correlation__empirical_crypto__shared_keeper_capacity_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,14,1,ETH,19,exposure_normalised_unresolved_tab,128,2.2191710404487596e-06,1.4906067217820309e-06,-7.024181342440211e-07,5.14076021514154e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0390625
1,joint_crypto_high_correlation__empirical_crypto__shared_keeper_capacity_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,14,1,ETH,20,displaced_candidates,128,0.234375,0.09179180308278606,0.05446306595773934,0.4142869340422607,0.0,0.0,0.0,0.0,0.0,1.0,0.078125
1,joint_crypto_high_correlation__empirical_crypto__shared_keeper_capacity_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,14,1,ETH,21,cross_family_displacement_hours,128,0.1171875,0.040936823790772674,0.036951325370085567,0.19742367462991445,0.0,0.0,0.0,0.0,0.0,1.0,0.078125
1,joint_crypto_high_correlation__empirical_crypto__shared_keeper_capacity_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,14,2,WBTC,1,initial_debt_exposure,128,379014.718300898,6.243011075397667e-12,379014.718300898,379014.718300898,379014.71830089804,379014.718300898,379014.718300898,379014.71830089804,379014.7183008981,379014.7183008981,1.0
1,joint_crypto_high_correlation__empirical_crypto__shared_keeper_capacity_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,14,2,WBTC,2,eligible_liquidation_tab,128,12295.59514768276,3033.1761375169935,6350.569918149452,18240.620377216066,0.0,0.0,0.0,6116.265534150252,29932.452715477004,73297.60372632476,0.390625
1,joint_crypto_high_correlation__empirical_crypto__shared_keeper_capacity_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,14,2,WBTC,3,candidate_count,128,8.3125,2.6600063180760913,3.0988876165708614,13.526112383429139,0.0,0.0,0.0,5.0,17.599999999999994,28.299999999999983,0.390625
1,joint_crypto_high_correlation__empirical_crypto__shared_keeper_capacity_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,14,2,WBTC,4,profitability_filtered_count,128,6.8828125,1.9057395274214999,3.1475630262538603,10.61806197374614,0.0,0.0,0.0,5.0,15.299999999999997,27.0,0.390625
1,joint_crypto_high_correlation__empirical_crypto__shared_keeper_capacity_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,14,2,WBTC,5,selected_count,128,1.8125,0.43297718430188004,0.9638647187683151,2.661135281231685,0.0,0.0,0.0,2.0,5.0,7.6499999999999915,0.375
1,joint_crypto_high_correlation__empirical_crypto__shared_keeper_capacity_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,14,2,WBTC,6,rejected_count,128,0.03125,0.02464686616612797,-0.01705785768561082,0.07955785768561083,0.0,0.0,0.0,0.0,0.0,0.0,0.015625
1,joint_crypto_high_correlation__empirical_crypto__shared_keeper_capacity_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,14,2,WBTC,7,successful_closure_count,128,1.625,0.32791695222884576,0.9822827736314623,2.2677172263685375,0.0,0.0,0.0,2.0,4.0,7.6499999999999915,0.375
1,joint_crypto_high_correlation__empirical_crypto__shared_keeper_capacity_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,14,2,WBTC,8,liquidated_debt,128,11217.81748625084,2872.284247435707,5588.1403612768545,16847.494611224825,0.0,0.0,0.0,5276.634300477685,29066.911477996815,73297.60372632477,0.375
1,joint_crypto_high_correlation__empirical_crypto__shared_keeper_capacity_low,empirical_crypto__joint_crypto_high_correlation,empirical_crypto,joint_crypto_high_correlation,14,2,WBTC,9,terminal_unresolved_tab,128,1.2686132843334699,1.2686132843334699,-1.2178687529601309,3.7550953216270706,0.0,0.0,0.0,0.0,0.0,0.0,0.0078125
