contrast_type,shock,portfolio,left_portfolio,right_portfolio,contrast,metric,direction_multiplier,operationality,reversal_flag,pair_count,mean,standard_error,ci95_lower,ci95_upper,median,p05,p25,p75,p90,p95,minimum,maximum,positive_share,paired_probability_difference,discordant_left_one_right_zero,discordant_left_zero_right_one,empirical_discordant_left_one_right_zero,empirical_discordant_left_zero_right_one,high_correlation_discordant_left_one_right_zero,high_correlation_discordant_left_zero_right_one
raw_portfolio_contrast,joint_crypto_empirical_stress,balanced_crypto,balanced_crypto,eth_only,balanced_crypto - eth_only,debt_weighted_liquidated_vault_share,1,operational,,128,-0.0629872074332,0.0084585826536,-0.0795660294343,-0.0464083854321,-0.011097746411,-0.260245829565,-0.109580042104,-0.000963976611856,0,0.000484898700307,-0.479046795472,0.0202525680751,0.078125,,,,,,,
raw_portfolio_contrast,joint_crypto_empirical_stress,balanced_crypto,balanced_crypto,eth_only,balanced_crypto - eth_only,successful_closure_count,1,operational,,128,-16.0078125,1.5535668294,-19.0528034856,-12.9628215144,-11.5,-50,-27,-1.75,0,2.3,-89,7,0.0625,,,,,,,
raw_portfolio_contrast,joint_crypto_empirical_stress,balanced_crypto,balanced_crypto,eth_only,balanced_crypto - eth_only,capacity_rejected_opportunities,1,operational,,128,-0.40625,0.172349693445,-0.744055399153,-0.0684446008471,0,-1.65,0,0,0,0,-14,0,0,,,,,,,
raw_portfolio_contrast,joint_crypto_empirical_stress,balanced_crypto,balanced_crypto,eth_only,balanced_crypto - eth_only,below_peg_burden,1,operational,,128,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
raw_portfolio_contrast,joint_crypto_empirical_stress,balanced_crypto,balanced_crypto,eth_only,balanced_crypto - eth_only,mean_absolute_peg_deviation,1,operational,,128,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
raw_portfolio_contrast,joint_crypto_empirical_stress,balanced_crypto,balanced_crypto,eth_only,balanced_crypto - eth_only,minimum_dai_price,1,operational,,128,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
raw_portfolio_contrast,joint_crypto_empirical_stress,balanced_crypto,balanced_crypto,eth_only,balanced_crypto - eth_only,restricted_mean_recovery_time,1,operational,,128,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
raw_portfolio_contrast,joint_crypto_empirical_stress,balanced_crypto,balanced_crypto,eth_only,balanced_crypto - eth_only,recovery_probability_720h,1,operational,,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
raw_portfolio_contrast,joint_crypto_empirical_stress,stable_supported,stable_supported,eth_only,stable_supported - eth_only,realised_bad_debt_share,1,degenerate,,128,-2.78896325128e-21,1.34196901682e-21,-5.41922252425e-21,-1.58703978301e-22,0,-1.75217814132e-20,0,0,0,0,-1.38439703663e-19,3.34822313381e-20,0.015625,,,,,,,
raw_portfolio_contrast,joint_crypto_empirical_stress,stable_supported,stable_supported,eth_only,stable_supported - eth_only,positive_realised_bad_debt,1,degenerate,,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
raw_portfolio_contrast,joint_crypto_empirical_stress,stable_supported,stable_supported,eth_only,stable_supported - eth_only,active_bad_debt_share,1,degenerate,,128,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
raw_portfolio_contrast,joint_crypto_empirical_stress,stable_supported,stable_supported,eth_only,stable_supported - eth_only,unresolved_tab_share,1,operational,,128,-0.04381864147,0.00667112304677,-0.0568940426416,-0.0307432402983,-0.00672400823911,-0.205034967026,-0.0586211206184,-0.000609933053706,0,0,-0.440220434819,0.0315203295613,0.0390625,,,,,,,
raw_portfolio_contrast,joint_crypto_empirical_stress,stable_supported,stable_supported,eth_only,stable_supported - eth_only,backlog_area_share,1,operational,,128,-0.163721469862,0.0261487075137,-0.214972936589,-0.112470003135,-0.0330464109132,-0.841222374035,-0.18627320488,-0.00200727111986,0,0,-1.35916813246,0.652490628246,0.0234375,,,,,,,
raw_portfolio_contrast,joint_crypto_empirical_stress,stable_supported,stable_supported,eth_only,stable_supported - eth_only,liquidated_debt_share,1,operational,,128,-0.0663496918391,0.0086148016516,-0.0832347030762,-0.0494646806019,-0.0193531701804,-0.251107339344,-0.116780636765,-0.00112054800144,0,0,-0.565260815968,0.0015938129005,0.0234375,,,,,,,
raw_portfolio_contrast,joint_crypto_empirical_stress,stable_supported,stable_supported,eth_only,stable_supported - eth_only,debt_weighted_liquidated_vault_share,1,operational,,128,-0.0663496918391,0.0086148016516,-0.0832347030762,-0.0494646806019,-0.0193531701804,-0.251107339344,-0.116780636765,-0.00112054800144,0,0,-0.565260815968,0.0015938129005,0.0234375,,,,,,,
raw_portfolio_contrast,joint_crypto_empirical_stress,stable_supported,stable_supported,eth_only,stable_supported - eth_only,successful_closure_count,1,operational,,128,-18.5,1.65901705791,-21.7516734335,-15.2483265665,-14,-51,-27,-3,0,0,-104,1,0.0078125,,,,,,,
raw_portfolio_contrast,joint_crypto_empirical_stress,stable_supported,stable_supported,eth_only,stable_supported - eth_only,capacity_rejected_opportunities,1,operational,,128,-0.4765625,0.196538964172,-0.861778869777,-0.0913461302232,0,-1.65,0,0,0,0,-14,0,0,,,,,,,
raw_portfolio_contrast,joint_crypto_empirical_stress,stable_supported,stable_supported,eth_only,stable_supported - eth_only,below_peg_burden,1,operational,,128,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
raw_portfolio_contrast,joint_crypto_empirical_stress,stable_supported,stable_supported,eth_only,stable_supported - eth_only,mean_absolute_peg_deviation,1,operational,,128,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
raw_portfolio_contrast,joint_crypto_empirical_stress,stable_supported,stable_supported,eth_only,stable_supported - eth_only,minimum_dai_price,1,operational,,128,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
raw_portfolio_contrast,joint_crypto_empirical_stress,stable_supported,stable_supported,eth_only,stable_supported - eth_only,restricted_mean_recovery_time,1,operational,,128,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
raw_portfolio_contrast,joint_crypto_empirical_stress,stable_supported,stable_supported,eth_only,stable_supported - eth_only,recovery_probability_720h,1,operational,,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
raw_portfolio_contrast,joint_crypto_empirical_stress,balanced_crypto,balanced_crypto,empirical_crypto,balanced_crypto - empirical_crypto,realised_bad_debt_share,1,degenerate,,128,-1.2754394354e-21,6.1061206977e-22,-2.47223909215e-21,-7.863977865e-23,0,0,0,0,0,0,-6.37268573157e-20,0,0,,,,,,,
