cell_order,cell_identifier,shock,portfolio,metric,operationality,valid_replication_count,mean,standard_error,ci95_lower,ci95_upper,median,p05,p25,p75,p90,p95,minimum,maximum,positive_share,censoring_count,numerical_failure_count
1,joint_crypto_empirical_stress__eth_only,joint_crypto_empirical_stress,eth_only,maximum_simultaneous_active_backlog_families,diagnostic,128,0.890625,0.0276952068645,0.836342394546,0.944907605454,1,0,1,1,1,1,0,1,0.890625,0,0
2,joint_crypto_empirical_stress__empirical_crypto,joint_crypto_empirical_stress,empirical_crypto,realised_bad_debt_share,degenerate,128,1.2754394354e-21,6.1061206977e-22,7.863977865e-23,2.47223909215e-21,0,0,0,0,0,0,0,6.37268573157e-20,0.046875,0,0
2,joint_crypto_empirical_stress__empirical_crypto,joint_crypto_empirical_stress,empirical_crypto,positive_realised_bad_debt,degenerate,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,joint_crypto_empirical_stress__empirical_crypto,joint_crypto_empirical_stress,empirical_crypto,active_bad_debt_share,degenerate,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,joint_crypto_empirical_stress__empirical_crypto,joint_crypto_empirical_stress,empirical_crypto,unresolved_tab_share,operational,128,0.0373581468192,0.00633537320301,0.0249408153413,0.0497754782971,0.00381132376292,0,0.000345361379649,0.0326593033535,0.132322304528,0.191331303372,0,0.427455967954,0.8125,0,0
2,joint_crypto_empirical_stress__empirical_crypto,joint_crypto_empirical_stress,empirical_crypto,backlog_area_share,operational,128,0.1201781177,0.0190258778787,0.0828873970582,0.157468838343,0.0167255480211,0,0.00115744429783,0.148205876661,0.379142072279,0.571831322222,0,1.29785017783,0.8125,0,0
2,joint_crypto_empirical_stress__empirical_crypto,joint_crypto_empirical_stress,empirical_crypto,liquidated_debt_share,operational,128,0.0556172907972,0.00852455600943,0.0389091610187,0.0723254205757,0.00684424799159,0,0.000622857653331,0.0784027411365,0.19797678072,0.275092474915,0,0.460462171914,0.8359375,0,0
2,joint_crypto_empirical_stress__empirical_crypto,joint_crypto_empirical_stress,empirical_crypto,debt_weighted_liquidated_vault_share,operational,128,0.0556172907972,0.00852455600943,0.0389091610187,0.0723254205757,0.00684424799159,0,0.000622857653331,0.0784027411365,0.19797678072,0.275092474915,0,0.460462171914,0.8359375,0,0
2,joint_crypto_empirical_stress__empirical_crypto,joint_crypto_empirical_stress,empirical_crypto,successful_closure_count,operational,128,16.625,1.70426745526,13.2846357877,19.9653642123,10,0,1,29.25,44,53.3,0,97,0.8359375,0,0
2,joint_crypto_empirical_stress__empirical_crypto,joint_crypto_empirical_stress,empirical_crypto,capacity_rejected_opportunities,operational,128,0.1953125,0.114767499561,-0.0296317991394,0.420256799139,0,0,0,0,0,0,0,13,0.0390625,0,0
2,joint_crypto_empirical_stress__empirical_crypto,joint_crypto_empirical_stress,empirical_crypto,below_peg_burden,operational,128,0.259221364818,0.00398858692742,0.251403734441,0.267038995196,0.256866542563,0.186831435274,0.229567820657,0.287465585978,0.321133194591,0.333773855718,0.169592671946,0.3660592687,1,0,0
2,joint_crypto_empirical_stress__empirical_crypto,joint_crypto_empirical_stress,empirical_crypto,mean_absolute_peg_deviation,operational,128,0.000597776317663,6.48969732964e-06,0.000585056510897,0.000610496124429,0.000598598295043,0.000480357965518,0.000543822104482,0.000650833506567,0.000688361539265,0.000705718932085,0.000451994174648,0.000777779452119,1,0,0
2,joint_crypto_empirical_stress__empirical_crypto,joint_crypto_empirical_stress,empirical_crypto,minimum_dai_price,operational,128,0.995900137163,8.27849633965e-05,0.995737878635,0.996062395691,0.996022725003,0.994221015378,0.995450942213,0.996497114171,0.997075999089,0.997322188442,0.993388961094,0.997754896723,1,0,0
2,joint_crypto_empirical_stress__empirical_crypto,joint_crypto_empirical_stress,empirical_crypto,restricted_mean_recovery_time,operational,128,82.4453125,17.3555335089,48.4284668225,116.462158178,0,0,0,0,375.3,624.25,0,720,0.1875,2,0
2,joint_crypto_empirical_stress__empirical_crypto,joint_crypto_empirical_stress,empirical_crypto,recovery_probability_720h,operational,128,0.984375,0.0110049592883,0.962805279795,1.00594472021,1,1,1,1,1,1,0,1,0.984375,0,0
2,joint_crypto_empirical_stress__empirical_crypto,joint_crypto_empirical_stress,empirical_crypto,positive_demand_hours,diagnostic,128,11.265625,1.65513711961,8.02155624556,14.5096937544,7,0,1,13,23.3,40.65,0,153,0.8359375,0,0
2,joint_crypto_empirical_stress__empirical_crypto,joint_crypto_empirical_stress,empirical_crypto,binding_hours,diagnostic,128,0.0390625,0.0171919732905,0.00536623235069,0.0727587676493,0,0,0,0,0,0,0,1,0.0390625,0,0
2,joint_crypto_empirical_stress__empirical_crypto,joint_crypto_empirical_stress,empirical_crypto,mean_capacity_utilisation,diagnostic,128,0.00199360643697,0.000250678225401,0.00150227711518,0.00248493575875,0.0011485042735,0,0.000106837606838,0.0025641025641,0.0048344017094,0.00704594017094,0,0.0185363247863,0.8359375,0,0
2,joint_crypto_empirical_stress__empirical_crypto,joint_crypto_empirical_stress,empirical_crypto,maximum_capacity_utilisation,diagnostic,128,0.340144230769,0.0277968786046,0.285662348704,0.394626112834,0.269230769231,0,0.0384615384615,0.538461538462,0.857692307692,1,0,1,0.8359375,0,0
2,joint_crypto_empirical_stress__empirical_crypto,joint_crypto_empirical_stress,empirical_crypto,maximum_simultaneously_unsafe_families,diagnostic,128,1.25,0.0617573993782,1.12895549722,1.37104450278,1,0,1,2,2,2,0,2,0.8515625,0,0
2,joint_crypto_empirical_stress__empirical_crypto,joint_crypto_empirical_stress,empirical_crypto,maximum_backlog_duration,diagnostic,128,23.359375,3.36950439077,16.7551463941,29.9636036059,17,0,2,27.25,44,69.65,0,335,0.8125,0,0
2,joint_crypto_empirical_stress__empirical_crypto,joint_crypto_empirical_stress,empirical_crypto,hours_one_unsafe_family,diagnostic,128,29.234375,4.51215664897,20.390547968,38.078202032,16,0,2.75,32.25,69.3,99.4,0,434,0.84375,0,0
2,joint_crypto_empirical_stress__empirical_crypto,joint_crypto_empirical_stress,empirical_crypto,hours_at_least_two_unsafe_families,diagnostic,128,3.2890625,0.509524483977,2.2903945114,4.2877304886,0,0,0,4.25,12,16.65,0,28,0.3984375,0,0
2,joint_crypto_empirical_stress__empirical_crypto,joint_crypto_empirical_stress,empirical_crypto,hours_all_applicable_volatile_families_unsafe,diagnostic,128,3.2890625,0.509524483977,2.2903945114,4.2877304886,0,0,0,4.25,12,16.65,0,28,0.3984375,0,0
2,joint_crypto_empirical_stress__empirical_crypto,joint_crypto_empirical_stress,empirical_crypto,hours_eth_wbtc_simultaneously_unsafe,diagnostic,128,3.2890625,0.509524483977,2.2903945114,4.2877304886,0,0,0,4.25,12,16.65,0,28,0.3984375,0,0
2,joint_crypto_empirical_stress__empirical_crypto,joint_crypto_empirical_stress,empirical_crypto,share_hours_eth_wbtc_simultaneously_unsafe,diagnostic,128,0.00456814236111,0.000707672894413,0.00318110348806,0.00595518123416,0,0,0,0.00590277777778,0.0166666666667,0.023125,0,0.0388888888889,0.3984375,0,0
2,joint_crypto_empirical_stress__empirical_crypto,joint_crypto_empirical_stress,empirical_crypto,maximum_simultaneous_active_backlog_families,diagnostic,128,1.171875,0.0638239448793,1.04678006804,1.29696993196,1,0,1,2,2,2,0,2,0.8125,0,0
3,joint_crypto_empirical_stress__balanced_crypto,joint_crypto_empirical_stress,balanced_crypto,realised_bad_debt_share,degenerate,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,joint_crypto_empirical_stress__balanced_crypto,joint_crypto_empirical_stress,balanced_crypto,positive_realised_bad_debt,degenerate,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,joint_crypto_empirical_stress__balanced_crypto,joint_crypto_empirical_stress,balanced_crypto,active_bad_debt_share,degenerate,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,joint_crypto_empirical_stress__balanced_crypto,joint_crypto_empirical_stress,balanced_crypto,unresolved_tab_share,operational,128,0.0100614279331,0.00279444337752,0.00458431891311,0.015538536953,9.53709268219e-05,0,0,0.00330857731358,0.0294141250288,0.0475533593945,0,0.28161699695,0.53125,0,0
3,joint_crypto_empirical_stress__balanced_crypto,joint_crypto_empirical_stress,balanced_crypto,backlog_area_share,operational,128,0.0399773629228,0.00876274280494,0.0228023870251,0.0571523388204,0.000436413327404,0,0,0.0153383062073,0.135404717167,0.274094074078,0,0.60930977714,0.53125,0,0
3,joint_crypto_empirical_stress__balanced_crypto,joint_crypto_empirical_stress,balanced_crypto,liquidated_debt_share,operational,128,0.0149105431468,0.00347106606046,0.00810725366833,0.0217138326253,0.000446132845906,0,0,0.008257007034,0.0512510627734,0.0738124262204,0,0.286279275307,0.5859375,0,0
3,joint_crypto_empirical_stress__balanced_crypto,joint_crypto_empirical_stress,balanced_crypto,debt_weighted_liquidated_vault_share,operational,128,0.0149105431468,0.00347106606046,0.00810725366833,0.0217138326253,0.000446132845906,0,0,0.008257007034,0.0512510627734,0.0738124262204,0,0.286279275307,0.5859375,0,0
3,joint_crypto_empirical_stress__balanced_crypto,joint_crypto_empirical_stress,balanced_crypto,successful_closure_count,operational,128,7.21875,1.08983410367,5.08267515681,9.35482484319,1,0,0,9.25,22.3,34.95,0,71,0.5859375,0,0
3,joint_crypto_empirical_stress__balanced_crypto,joint_crypto_empirical_stress,balanced_crypto,capacity_rejected_opportunities,operational,128,0.0703125,0.0703125,-0.0675,0.208125,0,0,0,0,0,0,0,9,0.0078125,0,0
