cell_order,cell_identifier,shock,portfolio,family,metric,applicable_replication_count,not_applicable_replication_count,invalid_replication_count,mean,standard_error,ci95_lower,ci95_upper,median,p05,p25,p75,p90,p95,minimum,maximum,positive_share
1,joint_crypto_empirical_stress__eth_only,joint_crypto_empirical_stress,eth_only,WBTC,keeper_profit_proxy,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,joint_crypto_empirical_stress__eth_only,joint_crypto_empirical_stress,eth_only,WBTC,exposure_normalised_liquidated_debt,0,128,0,,,,,,,,,,,,,
1,joint_crypto_empirical_stress__eth_only,joint_crypto_empirical_stress,eth_only,WBTC,exposure_normalised_backlog,0,128,0,,,,,,,,,,,,,
1,joint_crypto_empirical_stress__eth_only,joint_crypto_empirical_stress,eth_only,WBTC,exposure_normalised_bad_debt,0,128,0,,,,,,,,,,,,,
1,joint_crypto_empirical_stress__eth_only,joint_crypto_empirical_stress,eth_only,WBTC,contribution_to_system_backlog,114,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,joint_crypto_empirical_stress__eth_only,joint_crypto_empirical_stress,eth_only,WBTC,contribution_to_system_bad_debt,11,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,joint_crypto_empirical_stress__eth_only,joint_crypto_empirical_stress,eth_only,WBTC,displaced_candidates,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,joint_crypto_empirical_stress__eth_only,joint_crypto_empirical_stress,eth_only,WBTC,simultaneous_unsafe_hours,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,joint_crypto_empirical_stress__eth_only,joint_crypto_empirical_stress,eth_only,WBTC,maximum_backlog,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,joint_crypto_empirical_stress__eth_only,joint_crypto_empirical_stress,eth_only,STABLE,initial_debt_exposure,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,joint_crypto_empirical_stress__eth_only,joint_crypto_empirical_stress,eth_only,STABLE,unsafe_vault_count,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,joint_crypto_empirical_stress__eth_only,joint_crypto_empirical_stress,eth_only,STABLE,liquidation_arrivals,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,joint_crypto_empirical_stress__eth_only,joint_crypto_empirical_stress,eth_only,STABLE,selected_attempts,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,joint_crypto_empirical_stress__eth_only,joint_crypto_empirical_stress,eth_only,STABLE,capacity_rejections,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,joint_crypto_empirical_stress__eth_only,joint_crypto_empirical_stress,eth_only,STABLE,successful_closures,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,joint_crypto_empirical_stress__eth_only,joint_crypto_empirical_stress,eth_only,STABLE,liquidated_debt,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,joint_crypto_empirical_stress__eth_only,joint_crypto_empirical_stress,eth_only,STABLE,backlog_area,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,joint_crypto_empirical_stress__eth_only,joint_crypto_empirical_stress,eth_only,STABLE,active_bad_debt,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,joint_crypto_empirical_stress__eth_only,joint_crypto_empirical_stress,eth_only,STABLE,realised_bad_debt,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,joint_crypto_empirical_stress__eth_only,joint_crypto_empirical_stress,eth_only,STABLE,keeper_profit_proxy,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,joint_crypto_empirical_stress__eth_only,joint_crypto_empirical_stress,eth_only,STABLE,exposure_normalised_liquidated_debt,0,128,0,,,,,,,,,,,,,
1,joint_crypto_empirical_stress__eth_only,joint_crypto_empirical_stress,eth_only,STABLE,exposure_normalised_backlog,0,128,0,,,,,,,,,,,,,
1,joint_crypto_empirical_stress__eth_only,joint_crypto_empirical_stress,eth_only,STABLE,exposure_normalised_bad_debt,0,128,0,,,,,,,,,,,,,
1,joint_crypto_empirical_stress__eth_only,joint_crypto_empirical_stress,eth_only,STABLE,contribution_to_system_backlog,114,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,joint_crypto_empirical_stress__eth_only,joint_crypto_empirical_stress,eth_only,STABLE,contribution_to_system_bad_debt,11,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,joint_crypto_empirical_stress__eth_only,joint_crypto_empirical_stress,eth_only,STABLE,displaced_candidates,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,joint_crypto_empirical_stress__eth_only,joint_crypto_empirical_stress,eth_only,STABLE,simultaneous_unsafe_hours,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,joint_crypto_empirical_stress__eth_only,joint_crypto_empirical_stress,eth_only,STABLE,maximum_backlog,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,joint_crypto_empirical_stress__empirical_crypto,joint_crypto_empirical_stress,empirical_crypto,ETH,initial_debt_exposure,128,0,0,2120985.2817,4.63421551784e-11,2120985.2817,2120985.2817,2120985.2817,2120985.2817,2120985.2817,2120985.2817,2120985.2817,2120985.2817,2120985.2817,2120985.2817,1
2,joint_crypto_empirical_stress__empirical_crypto,joint_crypto_empirical_stress,empirical_crypto,ETH,unsafe_vault_count,128,0,0,17.9921875,1.74498353322,14.5720197749,21.4123552251,12,0,2,29,43.9,57.6,0,94,0.8515625
2,joint_crypto_empirical_stress__empirical_crypto,joint_crypto_empirical_stress,empirical_crypto,ETH,liquidation_arrivals,128,0,0,36.203125,4.57822913469,27.229795896,45.176454104,20.5,0,2,46,89.3,124.95,0,340,0.8359375
2,joint_crypto_empirical_stress__empirical_crypto,joint_crypto_empirical_stress,empirical_crypto,ETH,selected_attempts,128,0,0,36.0078125,4.55035929313,27.0891082855,44.9265167145,20.5,0,2,46,89.3,124.95,0,340,0.8359375
2,joint_crypto_empirical_stress__empirical_crypto,joint_crypto_empirical_stress,empirical_crypto,ETH,capacity_rejections,128,0,0,0.1953125,0.114767499561,-0.0296317991394,0.420256799139,0,0,0,0,0,0,0,13,0.0390625
2,joint_crypto_empirical_stress__empirical_crypto,joint_crypto_empirical_stress,empirical_crypto,ETH,successful_closures,128,0,0,15.4375,1.55942611024,12.3810248239,18.4939751761,10,0,1,27,40.3,48.3,0,89,0.8359375
2,joint_crypto_empirical_stress__empirical_crypto,joint_crypto_empirical_stress,empirical_crypto,ETH,liquidated_debt,128,0,0,131171.275299,20313.8946584,91356.0417681,170986.508829,16633.5034799,0,1357.94132167,182302.22826,458879.123789,653089.655819,0,1121260.39528,0.8359375
2,joint_crypto_empirical_stress__empirical_crypto,joint_crypto_empirical_stress,empirical_crypto,ETH,backlog_area,128,0,0,279313.924904,44694.2108024,191713.271731,366914.578077,37470.8084566,0,2893.61074457,335902.951612,845822.890124,1283521.47233,0,3044187.83823,0.8125
2,joint_crypto_empirical_stress__empirical_crypto,joint_crypto_empirical_stress,empirical_crypto,ETH,active_bad_debt,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,joint_crypto_empirical_stress__empirical_crypto,joint_crypto_empirical_stress,empirical_crypto,ETH,realised_bad_debt,128,0,0,3.1885985885e-15,1.52653017442e-15,1.96599446625e-16,6.18059773037e-15,0,0,0,0,0,0,0,1.59317143289e-13,0.046875
2,joint_crypto_empirical_stress__empirical_crypto,joint_crypto_empirical_stress,empirical_crypto,ETH,keeper_profit_proxy,128,0,0,16541.2131776,2604.87387821,11435.6603763,21646.7659789,1625.02232168,0,86.6106617482,23302.6597294,58630.8091241,83640.3283718,0,144652.457408,0.8359375
2,joint_crypto_empirical_stress__empirical_crypto,joint_crypto_empirical_stress,empirical_crypto,ETH,exposure_normalised_liquidated_debt,128,0,0,0.0618445004924,0.00957757455162,0.0430724543713,0.0806165466136,0.00784234743325,0,0.000640240803833,0.0859516705905,0.216351866158,0.307918051791,0,0.528650719529,0.8359375
2,joint_crypto_empirical_stress__empirical_crypto,joint_crypto_empirical_stress,empirical_crypto,ETH,exposure_normalised_backlog,128,0,0,0.131690647415,0.0210723814012,0.0903887798683,0.172992514961,0.0176666989535,0,0.00136427667346,0.158371184614,0.398787722584,0.605153408373,0,1.4352706096,0.8125
2,joint_crypto_empirical_stress__empirical_crypto,joint_crypto_empirical_stress,empirical_crypto,ETH,exposure_normalised_bad_debt,128,0,0,1.50335724439e-21,7.19726905979e-22,9.26925086758e-23,2.91402198011e-21,0,0,0,0,0,0,0,7.51146859263e-20,0.046875
2,joint_crypto_empirical_stress__empirical_crypto,joint_crypto_empirical_stress,empirical_crypto,ETH,contribution_to_system_backlog,104,24,0,0.945888391637,0.0106225291783,0.925068234448,0.966708548827,1,0.70641330462,0.952618475977,1,1,1,0.476313878556,1,1
2,joint_crypto_empirical_stress__empirical_crypto,joint_crypto_empirical_stress,empirical_crypto,ETH,contribution_to_system_bad_debt,6,122,0,1,0,1,1,1,1,1,1,1,1,1,1,1
2,joint_crypto_empirical_stress__empirical_crypto,joint_crypto_empirical_stress,empirical_crypto,ETH,displaced_candidates,128,0,0,0.0859375,0.0483834947856,-0.00889414977976,0.18076914978,0,0,0,0,0,0,0,5,0.03125
2,joint_crypto_empirical_stress__empirical_crypto,joint_crypto_empirical_stress,empirical_crypto,ETH,simultaneous_unsafe_hours,128,0,0,3.2890625,0.509524483977,2.2903945114,4.2877304886,0,0,0,4.25,12,16.65,0,28,0.3984375
2,joint_crypto_empirical_stress__empirical_crypto,joint_crypto_empirical_stress,empirical_crypto,ETH,maximum_backlog,128,0,0,91325.8865394,15670.5738499,60611.5617935,122040.211285,8450.46567487,0,863.403449123,74641.2430612,325498.965946,476551.843886,0,1040379.64665,0.8125
2,joint_crypto_empirical_stress__empirical_crypto,joint_crypto_empirical_stress,empirical_crypto,WBTC,initial_debt_exposure,128,0,0,379014.718301,6.89351501095e-12,379014.718301,379014.718301,379014.718301,379014.718301,379014.718301,379014.718301,379014.718301,379014.718301,379014.718301,379014.718301,1
