contrast_family,setting,metric,operationality,materiality,sign_relative_to_core,raw_paired_mean,direction_normalised_advantage,count,standard_error,ci95_lower,ci95_upper,median,p05,p25,p75,p95
R-C,baseline,liquidated_debt_share,operational,material,retained,-0.027556326865573744,0.027556326865573744,64,0.011707716485675004,0.004609202553650736,0.05050345117749675,-0.0,0.0,-0.0,0.003027903332180291,0.18771546532835948
R-C,baseline,maximum_unresolved_tab_share,operational,material,retained,-0.012999751726509893,0.012999751726509893,64,0.00558581234024963,0.0020515595396206187,0.023947943913399168,-0.0,0.0,-0.0,0.0012641930716437914,0.061037846709828716
R-C,population_250,backlog_area_share,operational,material,retained,-0.010623635507729337,0.010623635507729337,64,0.006408708606590186,-0.0019374333611874277,0.023184704376646104,-0.0,-0.001558044605492651,-0.0,0.006171615000468477,0.06943617023902748
R-C,population_250,liquidated_debt_share,operational,material,retained,-0.011058405950510067,0.011058405950510067,64,0.005659600222279524,-3.4410485157799695e-05,0.022151222386177935,-0.0,-0.0032301007750619093,-0.0,0.0019399208883178211,0.0640526133378629
R-C,population_250,maximum_unresolved_tab_share,operational,material,retained,-0.0012742686055930536,0.0012742686055930536,64,0.002625058051430675,-0.003870845175211069,0.006419382386397176,-0.0,-0.002706058803280671,-0.0,0.0010203695412900828,0.016549548883284165
R-C,population_1000,backlog_area_share,operational,material,retained,-0.05620069554672427,0.05620069554672427,64,0.019968015558177222,0.017063385052696917,0.09533800604075163,0.0006813586635051677,0.0,-0.0,0.009479694884139606,0.3908838237091882
R-C,population_1000,liquidated_debt_share,operational,material,retained,-0.020462284135235955,0.020462284135235955,64,0.005615041930608884,0.009456801951242544,0.031467766319229366,0.00033083369852878293,0.0,-0.0,0.0063569736685530264,0.12383065975586734
R-C,population_1000,maximum_unresolved_tab_share,operational,material,retained,-0.006263386935363056,0.006263386935363056,64,0.0030697960346957255,0.0002465867073594341,0.01228018716336668,0.00023339259618102758,0.0,-0.0,0.0018879433572342968,0.06056383975722715
R-C,market_block_72,backlog_area_share,operational,material,retained,-0.02294152851959478,0.02294152851959478,64,0.008102654581860757,0.007060325539147698,0.03882273150004186,-0.0,0.0,-0.0,0.007897837487453995,0.13556004504864783
R-C,market_block_72,liquidated_debt_share,operational,material,retained,-0.0169554952097734,0.0169554952097734,64,0.006221318315276499,0.004761711311831462,0.02914927910771534,4.0298258310654665e-05,0.0,-0.0,0.003834213240329103,0.07059291880677529
R-C,market_block_72,maximum_unresolved_tab_share,operational,material,retained,-0.009791703895659632,0.009791703895659632,64,0.004251487599128257,0.0014587882013682475,0.018124619589951017,-0.0,0.0,-0.0,0.0019169978778692987,0.05101181152418811
