cell_order,cell_identifier,shock,portfolio,metric,valid_replication_count,mean,standard_error,ci95_lower,ci95_upper,median,p05,p25,p75,p90,p95,minimum,maximum,positive_share,censoring_count,numerical_failure_count
2,eth_idiosyncratic_severe__empirical_crypto,eth_idiosyncratic_severe,empirical_crypto,debt_weighted_liquidated_vault_share,128,0.0293444344591,0.00592735470031,0.0177268192465,0.0409620496717,0.000735193978523,0,0,0.0103782574584,0.118459717018,0.218037887051,0,0.31856182199,0.5859375,0,0
2,eth_idiosyncratic_severe__empirical_crypto,eth_idiosyncratic_severe,empirical_crypto,successful_closure_count,128,10.203125,1.77843045513,6.71740130794,13.6888486921,1,0,0,12,28.6,45.1,0,117,0.5859375,0,0
2,eth_idiosyncratic_severe__empirical_crypto,eth_idiosyncratic_severe,empirical_crypto,capacity_rejected_opportunities,128,0.140625,0.140625,-0.135,0.41625,0,0,0,0,0,0,0,18,0.0078125,0,0
2,eth_idiosyncratic_severe__empirical_crypto,eth_idiosyncratic_severe,empirical_crypto,below_peg_burden,128,0.26560363519,0.00454375447907,0.256697876411,0.274509393969,0.254728497773,0.189281453855,0.232235770874,0.299472255215,0.332279117942,0.348203949937,0.155835511292,0.423072833411,1,0,0
2,eth_idiosyncratic_severe__empirical_crypto,eth_idiosyncratic_severe,empirical_crypto,mean_absolute_peg_deviation,128,0.000614587264255,6.67212632206e-06,0.000601509896664,0.000627664631846,0.00061630151029,0.000482684860298,0.000561703447088,0.000657458893457,0.000723641570608,0.000760465596399,0.000445143471598,0.000781800612311,1,0,0
2,eth_idiosyncratic_severe__empirical_crypto,eth_idiosyncratic_severe,empirical_crypto,minimum_dai_price,128,0.995938327338,8.56288888862e-05,0.995770494716,0.99610615996,0.996036108228,0.994228414818,0.995192536345,0.996519817597,0.997253210565,0.997434173715,0.993694577318,0.997842442371,1,0,0
2,eth_idiosyncratic_severe__empirical_crypto,eth_idiosyncratic_severe,empirical_crypto,restricted_mean_recovery_time,128,62.2734375,13.9068439772,35.0160233048,89.5308516952,0,0,0,0,318.2,473.65,0,720,0.1796875,1,0
2,eth_idiosyncratic_severe__empirical_crypto,eth_idiosyncratic_severe,empirical_crypto,recovery_probability_720h,128,0.9921875,0.0078125,0.976875,1.0075,1,1,1,1,1,1,0,1,0.9921875,0,0
2,eth_idiosyncratic_severe__empirical_crypto,eth_idiosyncratic_severe,empirical_crypto,positive_demand_hours,128,6.375,1.22900678483,3.96614670173,8.78385329827,1,0,0,6,13,42.9,0,74,0.59375,0,0
2,eth_idiosyncratic_severe__empirical_crypto,eth_idiosyncratic_severe,empirical_crypto,binding_hours,128,0.0078125,0.0078125,-0.0075,0.023125,0,0,0,0,0,0,0,1,0.0078125,0,0
2,eth_idiosyncratic_severe__empirical_crypto,eth_idiosyncratic_severe,empirical_crypto,mean_capacity_utilisation,128,0.000935246394231,0.000202771403934,0.000537814442519,0.00133267834594,0.000106837606838,0,0,0.000854700854701,0.00186965811966,0.00576655982906,0,0.0149038461538,0.59375,0,0
2,eth_idiosyncratic_severe__empirical_crypto,eth_idiosyncratic_severe,empirical_crypto,maximum_capacity_utilisation,128,0.138521634615,0.0177306109281,0.103769637196,0.173273632034,0.0384615384615,0,0,0.230769230769,0.384615384615,0.525,0,1,0.59375,0,0
2,eth_idiosyncratic_severe__empirical_crypto,eth_idiosyncratic_severe,empirical_crypto,maximum_simultaneously_unsafe_families,128,0.75,0.0617573993782,0.628955497219,0.871044502781,1,0,0,1,2,2,0,2,0.6015625,0,0
2,eth_idiosyncratic_severe__empirical_crypto,eth_idiosyncratic_severe,empirical_crypto,maximum_backlog_duration,128,7.6015625,1.70586715672,4.25806287283,10.9450621272,1,0,0,6,14.3,37.95,0,108,0.5390625,0,0
3,eth_idiosyncratic_severe__balanced_crypto,eth_idiosyncratic_severe,balanced_crypto,realised_bad_debt_share,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,eth_idiosyncratic_severe__balanced_crypto,eth_idiosyncratic_severe,balanced_crypto,positive_realised_bad_debt,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,eth_idiosyncratic_severe__balanced_crypto,eth_idiosyncratic_severe,balanced_crypto,active_bad_debt_share,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,eth_idiosyncratic_severe__balanced_crypto,eth_idiosyncratic_severe,balanced_crypto,unresolved_tab_share,128,6.25241842545e-07,6.25241842545e-07,-6.00232168844e-07,1.85071585393e-06,0,0,0,0,0,0,0,8.00309558458e-05,0.0078125,0,0
3,eth_idiosyncratic_severe__balanced_crypto,eth_idiosyncratic_severe,balanced_crypto,backlog_area_share,128,0.0249176657885,0.00905912511264,0.0071617805677,0.0426735510092,0,0,0,0.00352421415594,0.0259967889656,0.0940339773977,0,0.794453657018,0.4140625,0,0
