shock,left_portfolio,right_portfolio,contrast,metric,pair_count,mean,standard_error,ci95_lower,ci95_upper,median,p05,p25,p75,p90,p95,minimum,maximum,positive_share,discordant_left_one_right_zero,discordant_left_zero_right_one
eth_idiosyncratic_severe,stable_supported,eth_only,stable_supported - eth_only,positive_realised_bad_debt,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eth_idiosyncratic_severe,stable_supported,eth_only,stable_supported - eth_only,active_bad_debt_share,128,0,0,0,0,0,0,0,0,0,0,0,0,0,,
eth_idiosyncratic_severe,stable_supported,eth_only,stable_supported - eth_only,unresolved_tab_share,128,-2.04301297829e-06,1.98388266161e-06,-5.93142299504e-06,1.84539703846e-06,0,0,0,0,0,0,-0.00025388256508,0,0,,
eth_idiosyncratic_severe,stable_supported,eth_only,stable_supported - eth_only,backlog_area_share,128,-0.0369618010445,0.00858240908034,-0.0537833228419,-0.020140279247,-0.0010407193703,-0.225987976565,-0.0190312301396,0,0,0.000748126693592,-0.612607425742,0.122500465181,0.0546875,,
eth_idiosyncratic_severe,stable_supported,eth_only,stable_supported - eth_only,liquidated_debt_share,128,-0.0235312700935,0.00471823805673,-0.0327790166847,-0.0142835235023,-0.000807425575482,-0.14070945459,-0.0170062442232,0,0,0,-0.299400994299,0.086987277166,0.03125,,
eth_idiosyncratic_severe,stable_supported,eth_only,stable_supported - eth_only,debt_weighted_liquidated_vault_share,128,-0.0235312700935,0.00471823805673,-0.0327790166847,-0.0142835235023,-0.000807425575482,-0.14070945459,-0.0170062442232,0,0,0,-0.299400994299,0.086987277166,0.03125,,
eth_idiosyncratic_severe,stable_supported,eth_only,stable_supported - eth_only,successful_closure_count,128,-10.3359375,1.47578374612,-13.2284736424,-7.4434013576,-2,-47.3,-15.25,0,0,0,-84,11,0.015625,,
eth_idiosyncratic_severe,stable_supported,eth_only,stable_supported - eth_only,capacity_rejected_opportunities,128,-0.1640625,0.14913519724,-0.456367486591,0.128242486591,0,0,0,0,0,0,-19,0,0,,
eth_idiosyncratic_severe,stable_supported,eth_only,stable_supported - eth_only,below_peg_burden,128,0,0,0,0,0,0,0,0,0,0,0,0,0,,
eth_idiosyncratic_severe,stable_supported,eth_only,stable_supported - eth_only,mean_absolute_peg_deviation,128,0,0,0,0,0,0,0,0,0,0,0,0,0,,
eth_idiosyncratic_severe,stable_supported,eth_only,stable_supported - eth_only,minimum_dai_price,128,0,0,0,0,0,0,0,0,0,0,0,0,0,,
eth_idiosyncratic_severe,stable_supported,eth_only,stable_supported - eth_only,restricted_mean_recovery_time,128,0,0,0,0,0,0,0,0,0,0,0,0,0,,
eth_idiosyncratic_severe,stable_supported,eth_only,stable_supported - eth_only,recovery_probability_720h,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eth_idiosyncratic_severe,balanced_crypto,empirical_crypto,balanced_crypto - empirical_crypto,realised_bad_debt_share,128,0,0,0,0,0,0,0,0,0,0,0,0,0,,
eth_idiosyncratic_severe,balanced_crypto,empirical_crypto,balanced_crypto - empirical_crypto,positive_realised_bad_debt,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eth_idiosyncratic_severe,balanced_crypto,empirical_crypto,balanced_crypto - empirical_crypto,active_bad_debt_share,128,0,0,0,0,0,0,0,0,0,0,0,0,0,,
eth_idiosyncratic_severe,balanced_crypto,empirical_crypto,balanced_crypto - empirical_crypto,unresolved_tab_share,128,-8.86121813869e-07,8.86121813869e-07,-2.62292056905e-06,8.50676941315e-07,0,0,0,0,0,0,-0.000113423592175,0,0,,
eth_idiosyncratic_severe,balanced_crypto,empirical_crypto,balanced_crypto - empirical_crypto,backlog_area_share,128,-0.0205847645376,0.0106663420566,-0.0414907949686,0.000321265893451,0,-0.157231979166,-0.00410543408391,0,0.00169401478984,0.0109561008586,-0.784434566224,0.527032053599,0.1640625,,
eth_idiosyncratic_severe,balanced_crypto,empirical_crypto,balanced_crypto - empirical_crypto,liquidated_debt_share,128,-0.0173439189126,0.00436250898235,-0.025894436518,-0.00879340130723,0,-0.123571985831,-0.00619620025498,0,0.00042468501789,0.00230990266063,-0.253469765858,0.0896473839416,0.140625,,
eth_idiosyncratic_severe,balanced_crypto,empirical_crypto,balanced_crypto - empirical_crypto,debt_weighted_liquidated_vault_share,128,-0.0173439189126,0.00436250898235,-0.025894436518,-0.00879340130723,0,-0.123571985831,-0.00619620025498,0,0.00042468501789,0.00230990266063,-0.253469765858,0.0896473839416,0.140625,,
eth_idiosyncratic_severe,balanced_crypto,empirical_crypto,balanced_crypto - empirical_crypto,successful_closure_count,128,-4.6015625,0.795792009084,-6.1613148378,-3.0418101622,0,-27,-7.25,0,0.3,2,-39,12,0.1015625,,
eth_idiosyncratic_severe,balanced_crypto,empirical_crypto,balanced_crypto - empirical_crypto,capacity_rejected_opportunities,128,-0.140625,0.140625,-0.41625,0.135,0,0,0,0,0,0,-18,0,0,,
eth_idiosyncratic_severe,balanced_crypto,empirical_crypto,balanced_crypto - empirical_crypto,below_peg_burden,128,0,0,0,0,0,0,0,0,0,0,0,0,0,,
eth_idiosyncratic_severe,balanced_crypto,empirical_crypto,balanced_crypto - empirical_crypto,mean_absolute_peg_deviation,128,0,0,0,0,0,0,0,0,0,0,0,0,0,,
eth_idiosyncratic_severe,balanced_crypto,empirical_crypto,balanced_crypto - empirical_crypto,minimum_dai_price,128,0,0,0,0,0,0,0,0,0,0,0,0,0,,
eth_idiosyncratic_severe,balanced_crypto,empirical_crypto,balanced_crypto - empirical_crypto,restricted_mean_recovery_time,128,0,0,0,0,0,0,0,0,0,0,0,0,0,,
eth_idiosyncratic_severe,balanced_crypto,empirical_crypto,balanced_crypto - empirical_crypto,recovery_probability_720h,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eth_idiosyncratic_severe,stable_supported,empirical_crypto,stable_supported - empirical_crypto,realised_bad_debt_share,128,0,0,0,0,0,0,0,0,0,0,0,0,0,,
eth_idiosyncratic_severe,stable_supported,empirical_crypto,stable_supported - empirical_crypto,positive_realised_bad_debt,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
